rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
1,Rafael Nadal,Spain,ESP,true,1986-06-03,400,275,59,66,107,0,122,0,41,5,0,4,0,39,16,0,24,15,18,2,7,0,0,13,0,0,26,0,39,62,722,464-43,2669,2013-06-10,91.5%
2,Bjorn Borg,Sweden,SWE,false,1956-06-06,167,108,36,23,55,0,26,0,27,0,0,4,0,20,12,0,8,10,5,0,0,0,0,6,0,0,6,0,12,32,366,282-47,2650,1980-06-17,85.7%
3,Guillermo Vilas,Argentina,ARG,false,1952-08-17,165,128,19,18,37,0,32,0,58,1,0,4,0,10,5,0,6,4,2,4,2,0,0,2,0,0,3,0,5,49,39,672-169,2521,1977-11-28,79.9%
4,Novak Djokovic,Serbia,SRB,true,1987-05-22,162,114,31,17,46,0,63,0,5,0,0,4,0,18,9,0,9,5,2,0,1,0,0,2,0,0,10,0,12,17,101,244-59,2538,2016-06-06,80.5%
5,Ivan Lendl,United States,USA,false,1960-03-07,138,89,34,15,34,0,28,0,26,1,0,4,0,23,7,0,6,8,1,0,0,0,0,3,0,0,6,0,9,28,367,329-77,2536,1988-05-16,81.0%
6,Roger Federer,Switzerland,SUI,true,1981-08-08,113,86,16,11,34,0,47,0,4,1,0,2,0,12,2,0,5,6,0,0,0,0,0,1,0,0,6,0,7,11,0,226-71,2453,2009-09-25,76.1%
7,Mats Wilander,Sweden,SWE,false,1964-08-22,105,76,17,12,35,0,18,0,19,4,0,4,0,12,1,0,4,7,1,0,0,0,0,3,0,0,3,0,6,20,80,263-80,2439,1987-07-31,76.7%
8,Thomas Muster,Austria,AUT,false,1967-10-02,101,75,16,10,11,0,27,0,37,0,0,4,0,9,3,0,2,6,0,2,0,0,0,1,0,0,6,0,7,40,117,426-127,2458,1996-04-29,77.0%
9,Manuel Orantes,Spain,ESP,false,1949-02-06,88,76,7,5,18,0,14,0,42,2,0,4,0,3,0,0,3,2,0,0,0,0,0,1,0,0,1,0,2,32,5,553-166,2369,1975-09-10,76.9%
10,Ilie Nastase,Romania,ROU,false,1946-07-19,83,65,11,7,18,0,13,0,32,2,0,4,0,6,1,0,3,4,0,0,0,0,0,1,0,0,2,0,3,30,75,404-114,2440,1973-10-15,78.0%
11,Jimmy Connors,United States,USA,false,1952-09-02,80,61,9,10,28,0,16,0,16,1,0,2,0,6,1,0,4,6,0,0,0,0,0,1,0,0,4,0,5,12,0,202-59,2439,1979-08-13,77.4%
12,Gustavo Kuerten,Brazil,BRA,false,1976-09-10,79,57,14,8,26,0,21,0,10,0,0,4,0,10,0,0,2,5,1,0,0,0,0,3,0,0,4,0,7,14,148,181-78,2399,2001-07-23,69.9%
13,Sergi Bruguera,Spain,ESP,false,1971-01-16,65,49,11,5,22,0,15,0,11,1,0,4,0,7,0,0,2,3,0,0,0,0,0,2,0,0,2,0,4,13,104,296-135,2394,1994-08-08,68.7%
14,Ken Rosewall,Australia,AUS,false,1934-11-02,63,35,20,8,12,0,12,0,11,0,0,4,0,16,0,0,3,4,1,0,0,0,0,1,0,0,3,0,4,11,260,107-31,2413,1968-06-10,77.5%
15,Juan Carlos Ferrero,Spain,ESP,false,1980-02-12,62,49,10,3,16,0,17,0,14,2,0,4,0,6,0,0,1,2,0,0,0,0,0,1,0,0,3,0,4,13,46,254-95,2353,2003-06-09,72.8%
16,David Ferrer,Spain,ESP,false,1982-04-02,56,48,6,2,10,0,11,0,24,3,0,1,0,5,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,335-141,2393,2013-02-25,70.4%
17,Rod Laver,Australia,AUS,false,1938-08-09,55,36,12,7,12,0,14,0,10,0,0,4,0,8,0,0,3,3,1,0,0,0,0,1,0,0,3,0,4,14,40,121-40,2416,1968-11-03,75.2%
18,Carlos Moya,Spain,ESP,false,1976-08-27,54,46,7,1,11,0,15,0,18,2,0,4,0,3,0,0,1,0,0,0,0,0,0,1,0,0,2,0,3,16,3,337-143,2255,2003-04-28,70.2%
19,Jose Luis Clerc,Argentina,ARG,false,1958-08-16,53,40,8,5,4,0,15,0,20,1,0,2,0,2,4,0,2,3,0,0,0,0,0,0,0,0,3,0,3,21,0,304-89,2469,1981-10-09,77.4%
20,Jim Courier,United States,USA,false,1970-08-17,52,32,9,11,23,0,8,0,1,0,0,4,0,5,0,0,2,9,0,0,0,0,0,2,0,0,2,0,4,5,47,115-53,2298,1992-06-08,68.5%
