rank,name,country_name,country_id,active,dob,totalPoints,tournamentPoints,rankingPoints,achievementsPoints,tGPoints,tFLPoints,tMPoints,tOPoints,tABPoints,tDTPoints,yearEndRankPoints,bestRankPoints,weeksAtNo1Points,weeksAtEloTopNPoints,bestEloRatingPoints,grandSlamPoints,bigWinsPoints,h2hPoints,recordsPoints,bestSeasonPoints,greatestRivalriesPoints,performancePoints,statisticsPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,bestEloRating,bestEloRatingDate,wonPct
1,Roger Federer,Switzerland,SUI,true,1981-08-08,185,104,48,33,87,0,0,2,15,0,0,4,0,35,9,0,8,10,15,0,0,0,0,8,0,0,0,0,8,19,523,192-29,2547,2009-07-06,86.9%
2,Jimmy Connors,United States,USA,false,1952-09-02,131,82,34,15,66,0,9,0,7,0,0,4,0,23,7,0,5,6,2,2,0,0,0,4,0,0,1,0,5,9,202,178-37,2542,1983-06-13,82.8%
3,Pete Sampras,United States,USA,false,1971-08-12,109,62,30,17,59,0,0,0,3,0,0,4,0,23,3,0,5,7,5,0,0,0,0,7,0,0,0,0,7,10,428,101-20,2501,1999-07-05,83.5%
4,Novak Djokovic,Serbia,SRB,true,1987-05-22,101,62,26,13,60,0,0,0,2,0,0,4,0,17,5,0,5,5,3,0,0,0,0,6,0,0,0,0,6,7,243,102-18,2525,2021-07-12,85.0%
5,John Newcombe,Australia,AUS,false,1944-05-23,98,74,10,14,61,2,7,0,4,0,0,4,0,6,0,0,4,3,1,1,5,0,0,5,0,0,0,0,5,7,11,164-46,2424,1971-07-05,78.1%
5,Rod Laver,Australia,AUS,false,1938-08-09,98,50,26,22,33,0,16,0,1,0,0,4,0,10,12,0,5,10,3,4,0,0,0,4,0,0,3,0,7,8,117,89-16,2561,1970-03-23,84.8%
7,John McEnroe,United States,USA,false,1959-02-16,95,60,24,11,42,0,14,0,4,0,0,4,0,16,4,0,4,3,4,0,0,0,0,3,0,0,3,0,6,8,181,121-20,2517,1984-07-09,85.8%
8,Bjorn Borg,Sweden,SWE,false,1956-06-06,91,49,36,6,46,1,0,0,2,0,0,4,0,16,16,0,5,0,1,0,0,0,0,5,0,0,0,0,5,7,300,72-14,2562,1980-07-07,83.7%
9,Boris Becker,Germany,GER,false,1967-11-22,90,56,23,11,47,0,4,0,5,0,0,4,0,19,0,0,4,5,2,0,0,0,0,3,0,0,1,0,4,7,104,116-25,2449,1989-07-10,82.3%
10,Ken Rosewall,Australia,AUS,false,1934-11-02,84,56,17,11,48,0,3,0,5,0,0,4,0,11,2,0,3,4,1,1,2,0,0,3,0,0,0,0,3,8,123,139-38,2500,1971-04-21,78.5%
11,Stefan Edberg,Sweden,SWE,false,1966-01-19,75,47,20,8,44,0,0,0,2,1,0,4,0,15,1,0,3,5,0,0,0,0,0,4,0,0,0,0,4,5,209,99-27,2482,1991-06-17,78.6%
12,Andy Murray,United Kingdom,GBR,true,1987-05-15,65,41,17,7,31,0,0,3,7,0,0,4,0,12,1,0,3,3,1,0,0,0,0,2,0,0,0,1,3,8,103,110-23,2487,2016-07-11,82.7%
13,Arthur Ashe,United States,USA,false,1943-07-10,60,50,7,3,45,0,1,0,3,1,0,2,0,5,0,0,2,0,0,0,1,0,0,3,0,0,0,0,3,6,0,125-36,2362,1971-06-14,77.6%
14,Rafael Nadal,Spain,ESP,true,1986-06-03,52,34,11,7,32,0,0,0,2,0,0,2,0,9,0,0,3,3,1,0,0,0,0,2,0,0,0,0,2,4,0,71-20,2401,2010-07-05,78.0%
15,Tony Roche,Australia,AUS,false,1945-05-17,51,37,6,8,24,0,6,0,6,1,0,2,0,4,0,0,2,2,0,0,4,0,0,0,0,0,1,0,1,7,0,135-37,2437,1970-01-11,78.5%
16,Stan Smith,United States,USA,false,1946-12-14,50,38,10,2,27,0,4,0,7,0,0,4,0,6,0,0,2,0,0,0,0,0,0,2,0,0,1,0,3,9,77,148-46,2395,1974-06-24,76.3%
17,Guillermo Vilas,Argentina,ARG,false,1952-08-17,42,31,3,8,24,6,0,0,1,0,0,1,0,2,0,0,1,7,0,0,0,0,0,2,1,0,0,0,3,4,0,71-27,2287,1980-02-08,72.4%
18,Ilie Nastase,Romania,ROU,false,1946-07-19,39,28,3,8,18,4,6,0,0,0,0,2,0,1,0,0,1,7,0,0,0,0,0,1,0,0,1,0,2,2,0,77-32,2337,1973-06-24,70.6%
19,Lleyton Hewitt,Australia,AUS,false,1981-02-24,37,22,13,2,13,0,0,0,7,2,0,4,0,9,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,8,52,129-41,2341,2002-08-12,75.9%
20,Ivan Lendl,United States,USA,false,1960-03-07,36,30,5,1,26,0,1,0,3,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,81-27,2387,1990-06-18,75.0%
