,rank,name,country_id,totalPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,wonPct
0,1,Rafael Nadal,ESP,400,13,0,0,26,0,39,62,722,464-43,91.5%
1,2,Bjorn Borg,SWE,167,6,0,0,6,0,12,32,366,282-47,85.7%
2,3,Guillermo Vilas,ARG,165,2,0,0,3,0,5,49,39,672-169,79.9%
3,4,Novak Djokovic,SRB,162,2,0,0,10,0,12,17,101,244-59,80.5%
4,5,Ivan Lendl,USA,138,3,0,0,6,0,9,28,367,329-77,81.0%
5,6,Roger Federer,SUI,113,1,0,0,6,0,7,11,0,226-71,76.1%
6,7,Mats Wilander,SWE,105,3,0,0,3,0,6,20,80,263-80,76.7%
7,8,Thomas Muster,AUT,101,1,0,0,6,0,7,40,117,426-127,77.0%
8,9,Manuel Orantes,ESP,88,1,0,0,1,0,2,32,5,553-166,76.9%
9,10,Ilie Nastase,ROU,83,1,0,0,2,0,3,30,75,404-114,78.0%
10,11,Jimmy Connors,USA,80,1,0,0,4,0,5,12,0,202-59,77.4%
11,12,Gustavo Kuerten,BRA,79,3,0,0,4,0,7,14,148,181-78,69.9%
12,13,Sergi Bruguera,ESP,65,2,0,0,2,0,4,13,104,296-135,68.7%
13,14,Ken Rosewall,AUS,63,1,0,0,3,0,4,11,260,107-31,77.5%
14,15,Juan Carlos Ferrero,ESP,62,1,0,0,3,0,4,13,46,254-95,72.8%
15,16,David Ferrer,ESP,56,0,0,0,0,0,0,13,0,335-141,70.4%
16,17,Rod Laver,AUS,55,1,0,0,3,0,4,14,40,121-40,75.2%
17,18,Carlos Moya,ESP,54,1,0,0,2,0,3,16,3,337-143,70.2%
18,19,Jose Luis Clerc,ARG,53,0,0,0,3,0,3,21,0,304-89,77.4%
19,20,Jim Courier,USA,52,2,0,0,2,0,4,5,47,115-53,68.5%
