,rank,name,country_id,totalPoints,grandSlams,tourFinals,altFinals,masters,olympics,bigTitles,titles,weeksAtNo1,wonLost,wonPct
0,1,Novak Djokovic,SRB,941,20,5,0,36,0,61,85,330,968-194,83.3%
1,2,Roger Federer,SUI,935,20,6,0,28,0,54,103,310,1245-275,81.9%
2,3,Rafael Nadal,ESP,848,20,0,0,36,1,57,88,209,1025-207,83.2%
3,4,Jimmy Connors,USA,614,8,1,2,20,0,31,109,268,1275-285,81.7%
4,5,Ivan Lendl,USA,607,8,5,2,18,0,33,94,270,1069-242,81.5%
5,6,Pete Sampras,USA,523,14,5,2,11,0,32,64,286,762-222,77.4%
6,7,John McEnroe,USA,514,7,3,5,17,0,32,77,170,881-198,81.6%
7,8,Bjorn Borg,SWE,483,11,2,1,11,0,25,66,109,650-138,82.5%
8,9,Andre Agassi,USA,417,8,1,0,17,1,27,60,101,870-274,76.0%
9,10,Rod Laver,AUS,390,5,0,2,18,0,25,72,219,571-145,79.7%
10,11,Boris Becker,GER,369,6,3,2,12,0,23,49,12,713-214,76.9%
11,12,Stefan Edberg,SWE,327,6,1,0,6,1,14,42,72,804-271,74.8%
12,13,Andy Murray,GBR,315,3,1,0,14,2,20,46,41,680-204,76.9%
13,14,Mats Wilander,SWE,243,7,0,0,8,0,15,33,20,569-223,71.8%
14,15,Guillermo Vilas,ARG,242,4,1,0,3,0,8,62,0,943-291,76.4%
15,16,Ilie Nastase,ROU,228,2,4,0,6,0,12,65,88,891-333,72.8%
16,17,Ken Rosewall,AUS,220,4,0,2,7,0,13,40,26,540-193,73.7%
17,18,Arthur Ashe,USA,211,3,0,1,4,0,8,45,0,783-258,75.2%
18,19,John Newcombe,AUS,210,5,0,1,6,0,12,41,8,564-224,71.6%
19,20,Lleyton Hewitt,AUS,181,2,2,0,2,0,6,30,80,616-262,70.2%
