,name,Record Holder 1,Country 1,Detail 1,value,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
1,Most Grand Slam Titles,Roger Federer,SUI,20,20,Rafael Nadal,ESP,20,Novak Djokovic,SRB,20
2,Most Tour Finals Titles,Roger Federer,SUI,,6,,,,,,
5,Most Masters Titles,Novak Djokovic,SRB,36,36,Rafael Nadal,ESP,36,,,
8,"Most Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,,61,,,,,,
12,Most Davis Cup Titles,Rafael Nadal,ESP,,5,Feliciano Lopez,ESP,,,,
14,Most Hard Titles,Roger Federer,SUI,,71,,,,,,
15,Most Clay Titles,Rafael Nadal,ESP,,62,,,,,,
16,Most Grass Titles,Roger Federer,SUI,,19,,,,,,
18,Most Outdoor Titles,Rafael Nadal,ESP,,86,,,,,,
20,Most Hard Grand Slam Titles,Novak Djokovic,SRB,,12,,,,,,
21,Most Clay Grand Slam Titles,Rafael Nadal,ESP,,13,,,,,,
22,Most Grass Grand Slam Titles,Roger Federer,SUI,,8,,,,,,
23,Most Hard Masters Titles,Novak Djokovic,SRB,,26,,,,,,
24,Most Clay Masters Titles,Rafael Nadal,ESP,,26,,,,,,
27,"Most Hard Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,,43,,,,,,
28,"Most Clay Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Rafael Nadal,ESP,,39,,,,,,
29,"Most Grass Big Titles (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,SUI,,8,,,,,,
34,Most Masters Titles in Single Season,Novak Djokovic,SRB,2015,6,,,,,,
35,"Most Big Titles in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,2015,10,,,,,,
42,Most Titles at Single Tournament,Rafael Nadal,ESP,Roland Garros,13,,,,,,
43,Most Grand Slam Titles at Single Tournament,Rafael Nadal,ESP,Roland Garros,13,,,,,,
44,Most Masters Titles at Single Tournament,Rafael Nadal,ESP,Monte Carlo Masters,11,,,,,,
45,Most ATP 500/CS Titles at Single Tournament,Rafael Nadal,ESP,Barcelona,12,,,,,,
47,Most Small Titles at Single Tournament,Rafael Nadal,ESP,Barcelona,12,,,,,,
55,Most Titles at Each Grand Slam Tournament,Novak Djokovic,SRB,2021 Roland Garros,2,,,,,,
56,Most Grand Slam Titles Adjusted by Difficulty,Novak Djokovic,SRB,20,21.8,,,,,,
57,Most Tour Finals Titles Adjusted by Difficulty,Roger Federer,SUI,6,5.74,,,,,,
59,Most Masters Titles Adjusted by Difficulty,Novak Djokovic,SRB,36,38.83,,,,,,
63,Most Hard Grand Slam Titles Adjusted by Difficulty,Novak Djokovic,SRB,12,13.38,,,,,,
64,Most Clay Grand Slam Titles Adjusted by Difficulty,Rafael Nadal,ESP,13,14.52,,,,,,
65,Most Grass Grand Slam Titles Adjusted by Difficulty,Roger Federer,SUI,8,7.89,,,,,,
66,Most Hard Masters Titles Adjusted by Difficulty,Novak Djokovic,SRB,26,28.4,,,,,,
67,Most Clay Masters Titles Adjusted by Difficulty,Rafael Nadal,ESP,26,27.51,,,,,,
70,Most Masters Titles in Single Season Adjusted by Difficulty,Novak Djokovic,SRB,2015 - 6,6.81,,,,,,
71,Most Grand Slam Titles at Single Tournament Adjusted by Difficulty,Rafael Nadal,ESP,Roland Garros - 13,14.52,,,,,,
72,Most Masters Titles at Single Tournament Adjusted by Difficulty,Rafael Nadal,ESP,Monte Carlo Masters - 11,11.59,,,,,,
74,Most Grand Slam Finals,Roger Federer,SUI,,31,,,,,,
75,Most Tour Finals Finals,Roger Federer,SUI,,10,,,,,,
78,Most Masters Finals,Novak Djokovic,SRB,,53,,,,,,
80,"Most Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,SUI,,92,,,,,,
84,Most Hard Finals,Roger Federer,SUI,,98,,,,,,
86,Most Grass Finals,Roger Federer,SUI,,27,,,,,,
88,Most Outdoor Finals,Roger Federer,SUI,118,118,Rafael Nadal,ESP,118,,,
90,Most Hard Grand Slam Finals,Novak Djokovic,SRB,,17,,,,,,
91,Most Clay Grand Slam Finals,Rafael Nadal,ESP,,13,,,,,,
92,Most Grass Grand Slam Finals,Roger Federer,SUI,,12,,,,,,
93,Most Hard Masters Finals,Novak Djokovic,SRB,,35,,,,,,
94,Most Clay Masters Finals,Rafael Nadal,ESP,,33,,,,,,
96,"Most Hard Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,,59,,,,,,
97,"Most Clay Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Rafael Nadal,ESP,,46,,,,,,
98,"Most Grass Big Finals (Grand Slam, All Tour Finals, Masters, Olympics)",Roger Federer,SUI,,13,,,,,,
103,Most Masters Finals in Single Season,Novak Djokovic,SRB,2015,8,,,,,,
104,"Most Big Finals in Single Season (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,SRB,2015,13,,,,,,
111,Most Finals at Single Tournament,Roger Federer,SUI,Basel,15,,,,,,
112,Most Grand Slam Finals at Single Tournament,Rafael Nadal,ESP,Roland Garros,13,,,,,,
113,Most Masters Finals at Single Tournament,Rafael Nadal,ESP,Monte Carlo Masters,12,Rafael Nadal,ESP,Rome Masters,,,
