,name,Record Holder 1,Country 1,Detail 1, Greatest winning %,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
0,Greatest Winning Pct.,Novak Djokovic,SRB,968-194/1162,83.30%,,,,,,
6,Greatest ATP 500/CS Winning Pct.,Roger Federer,SUI,178-26/204,87.25%,,,,,,
10,Greatest Best of 5 Winning Pct.,Rafael Nadal,ESP,322-43/365,88.22%,,,,,,
11,Greatest Hard Winning Pct.,Novak Djokovic,SRB,613-113/726,84.44%,,,,,,
12,Greatest Clay Winning Pct.,Rafael Nadal,ESP,464-43/507,91.52%,,,,,,
13,Greatest Grass Winning Pct.,Roger Federer,SUI,192-29/221,86.88%,,,,,,
15,Greatest Outdoor Winning Pct.,Rafael Nadal,ESP,942-167/1109,84.94%,,,,,,
21,Greatest Hard Winning Pct. in Single Season,Roger Federer,SUI,2005 50-1/51,98.04%,,,,,,
22,Greatest Clay Winning Pct. in Single Season,Rafael Nadal,ESP,2006 26-0/26,100.00%,Bjorn Borg,SWE,1978 25-0/25,Rafael Nadal,ESP,2010 22-0/22
25,Greatest Outdoor Winning Pct. in Single Season,Roger Federer,SUI,2005 67-3/70,95.71%,,,,,,
27,Greatest Winning Pct. at Single Tournament,Novak Djokovic,SRB,Beijing 29-0/29,100.00%,Jimmy Connors,USA,Birmingham 26-0/26,Thomas Muster,AUT,Acapulco 20-0/20
28,Greatest Winning Pct. at Single Grand Slam Tournament,Rafael Nadal,ESP,Roland Garros 105-3/108,97.22%,,,,,,
30,Greatest Winning Pct. at Single ATP 500/CS Tournament,Novak Djokovic,SRB,Beijing 29-0/29,100.00%,,,,,,
37,Greatest Olympics Peak Winning Pct.,Rafael Nadal,ESP,08-08-2016 10-0/10,100.00%,Stefan Edberg,SWE,20-09-1988 9-0/9,Marc Rosset,SUI,22-07-1996 8-0/8
38,Greatest ATP 500/CS Peak Winning Pct.,Rafael Nadal,ESP,30-09-2013 94-10/104,90.38%,,,,,,
44,Greatest Clay Peak Winning Pct.,Rafael Nadal,ESP,13-04-2014 300-21/321,93.46%,,,,,,
47,Greatest Outdoor Peak Winning Pct.,Rafael Nadal,ESP,13-01-2014 614-98/712,86.24%,,,,,,
49,Greatest Peak Winning Pct. Vs No. 1,Rafael Nadal,ESP,15-04-2007 7-3/10,70.00%,,,,,,
22,Greatest Clay Winning Pct. in Single Season,Rafael Nadal,ESP,2006 26-0/26,100.00%,Bjorn Borg,SWE,1978 25-0/25,Rafael Nadal,ESP,2010 22-0/22
