,name,Record Holder 1,Country 1,Detail 1,Most matches Played,Record Holder 2,Country 2,Detail 2,Record Holder 3,Country 3,Detail 3
1,Most Grand Slam Matches Played,Roger Federer,SUI,,429,,,,,,
2,Most Tour Finals Matches Played,Roger Federer,SUI,,76,,,,,,
4,Most Masters Matches Played,Roger Federer,SUI,,489,,,,,,
5,Most Olympics Matches Played,Roger Federer,SUI,,18,,,,,,
10,Most Best of 5 Matches Played,Roger Federer,SUI,,500,,,,,,
11,Most Hard Matches Played,Roger Federer,SUI,,932,,,,,,
15,Most Outdoor Matches Played,Roger Federer,SUI,,1183,,,,,,
18,Most Matches Played Vs Top 5,Roger Federer,SUI,,179,,,,,,
19,Most Matches Played Vs Top 10,Roger Federer,SUI,,346,,,,,,
30,Most Matches Played at Single Tournament,Roger Federer,SUI,Wimbledon,119,,,,,,
31,Most Matches Played at Single Grand Slam Tournament,Roger Federer,SUI,Wimbledon,119,,,,,,
32,Most Matches Played at Single Masters Tournament,Roger Federer,SUI,Indian Wells Masters,79,Rafael Nadal,ESP,Monte Carlo Masters,,,
33,Most Matches Played at Single ATP 500/CS Tournament,Rafael Nadal,ESP,Barcelona,70,,,,,,
36,Most Grand Slam Matches Vs Different Players Played,Roger Federer,SUI,,199,,,,,,
37,Most Tour Finals Matches Vs Different Players Played,Roger Federer,SUI,,40,,,,,,
43,Most Matches Played that ended by Retirement,Novak Djokovic,SRB,,39,,,,,,
32,Most Matches Played at Single Masters Tournament,Roger Federer,SUI,Indian Wells Masters,79,Rafael Nadal,ESP,Monte Carlo Masters,,,
