rank,name,country_id,season,grandSlamTitles,grandSlamFinals,grandSlamSemiFinals,tourFinalsTitles,tourFinalsFinals,mastersTitles,mastersFinals,olympicsTitles,titles,wonLost,yearEndRank,wonPct
1,Novak Djokovic,SRB,2015,3,1,0,1,0,6,2,0,11,82-6,1,93.2%
3,Roger Federer,SUI,2006,3,1,0,1,0,4,2,0,12,92-5,1,94.8%
5,Novak Djokovic (2),SRB,2011,3,0,1,0,0,5,1,0,10,70-6,1,92.1%
6,Roger Federer (2),SUI,2007,3,1,0,1,0,2,3,0,8,68-9,1,88.3%
7,Roger Federer (3),SUI,2004,3,0,0,1,0,3,0,0,11,74-6,1,92.5%
8,Roger Federer (4),SUI,2005,2,0,2,0,1,4,0,0,11,81-4,1,95.3%
9,Rafael Nadal,ESP,2010,3,0,0,0,1,3,0,0,7,71-10,1,87.7%
12,Rafael Nadal (2),ESP,2013,2,0,0,0,1,5,1,0,10,75-7,1,91.5%
13,Novak Djokovic (3),SRB,2012,1,2,1,1,0,3,3,0,6,75-12,1,86.2%
17,Novak Djokovic (4),SRB,2016,2,1,0,0,1,4,1,0,7,65-9,2,87.8%
20,Novak Djokovic (5),SRB,2013,1,2,1,1,0,3,0,0,7,74-9,2,89.2%
