rank,name,country_name,country_id,active,rating,decidingSets,fifthSets,finals,tieBreaks,decidingSetTieBreaks,decidingSetTieBreaksPct,pointsWon,finalsPct,fifthSetsPct,tieBreaksPct,decidingSetsPct,pointsLost
1,Novak Djokovic,Serbia,SRB,true,2.341,190-69,34-10,84-36,272-149,18-8,69.2%,906,70.0%,77.3%,64.6%,73.4%,387
2,Bjorn Borg,Sweden,SWE,false,2.278,121-43,27-6,66-26,98-81,14-6,70.0%,540,71.7%,81.8%,54.7%,73.8%,237
3,Rod Laver,Australia,AUS,false,2.152,147-65,25-9,72-27,70-54,10-8,55.6%,568,72.7%,73.5%,56.5%,69.3%,264
4,Kei Nishikori,Japan,JPN,true,2.024,142-54,25-7,12-14,133-92,15-8,65.2%,506,46.2%,78.1%,59.1%,72.4%,250
5,Andy Murray,United Kingdom,GBR,true,2.006,163-71,25-12,46-22,205-125,21-11,65.6%,694,67.6%,67.6%,62.1%,69.7%,346
6,Pete Sampras,United States,USA,false,2.000,189-88,33-15,64-24,328-194,30-17,63.8%,930,72.7%,68.8%,62.8%,68.2%,465
7,John McEnroe,United States,USA,false,1.995,165-75,25-13,76-31,189-119,11-10,52.4%,732,71.0%,65.8%,61.4%,68.8%,367
8,Thomas Muster,Austria,AUT,false,1.937,170-87,17-9,44-10,166-113,19-9,67.9%,647,81.5%,65.4%,59.5%,66.1%,334
9,Rafael Nadal,Spain,ESP,true,1.930,170-76,22-12,88-37,248-162,20-17,54.1%,828,70.4%,64.7%,60.5%,69.1%,429
10,Jimmy Connors,United States,USA,false,1.901,235-107,27-16,109-50,227-161,25-16,61.0%,994,68.6%,62.8%,58.5%,68.7%,523
11,Alex Metreveli,Russian Federation,RUS,false,1.852,77-35,16-5,11-6,39-41,3-2,60.0%,250,64.7%,76.2%,48.8%,68.8%,135
12,Roger Federer,Switzerland,SUI,true,1.805,232-128,31-23,103-53,463-246,36-28,56.3%,1231,66.0%,57.4%,65.3%,64.4%,682
13,Johan Kriek,United States,USA,false,1.780,125-60,18-4,14-13,126-95,14-6,70.0%,454,51.9%,81.8%,57.0%,67.6%,255
14,Richard Pancho Gonzales,United States,USA,false,1.764,45-26,10-5,9-7,26-13,3-0,100.0%,157,56.3%,66.7%,66.7%,63.4%,89
15,John Newcombe,Australia,AUS,false,1.740,129-67,29-13,41-30,131-82,7-6,53.8%,536,57.7%,69.0%,61.5%,65.8%,308
16,Boris Becker,Germany,GER,false,1.728,163-80,32-15,49-28,241-163,14-21,40.0%,743,63.6%,68.1%,59.7%,67.1%,430
17,Ivan Lendl,United States,USA,false,1.718,182-95,35-22,92-50,240-157,13-16,44.8%,871,64.8%,61.4%,60.5%,65.7%,507
18,Jose Luis Clerc,Argentina,ARG,false,1.699,82-48,17-9,25-10,64-47,4-5,44.4%,316,71.4%,65.4%,57.7%,63.1%,186
19,Jose Higueras,Spain,ESP,false,1.687,129-71,10-2,16-12,67-53,6-4,60.0%,383,57.1%,83.3%,55.8%,64.5%,227
20,Juan Martin Del Potro,Argentina,ARG,true,1.675,97-47,8-9,22-13,157-112,16-5,76.2%,427,62.9%,47.1%,58.4%,67.4%,255
