rank,name,country_name,country_id,active,won,lost,played,wonLostPct
1,Roger Federer,Switzerland,SUI,true,192,29,221,86.88%
2,John McEnroe,United States,USA,false,121,20,141,85.82%
3,Novak Djokovic,Serbia,SRB,true,102,18,120,85.00%
4,Rod Laver,Australia,AUS,false,89,16,105,84.76%
5,Bjorn Borg,Sweden,SWE,false,72,14,86,83.72%
6,Pete Sampras,United States,USA,false,101,20,121,83.47%
7,Jimmy Connors,United States,USA,false,178,37,215,82.79%
8,Andy Murray,United Kingdom,GBR,true,110,23,133,82.71%
9,Boris Becker,Germany,GER,false,116,25,141,82.27%
10,Alex Metreveli,Russian Federation,RUS,false,108,26,134,80.60%
11,Andy Roddick,United States,USA,false,86,22,108,79.63%
12,Stefan Edberg,Sweden,SWE,false,99,27,126,78.57%
13,Ken Rosewall,Australia,AUS,false,139,38,177,78.53%
14,Tony Roche,Australia,AUS,false,135,37,172,78.49%
15,Michael Stich,Germany,GER,false,61,17,78,78.21%
16,John Newcombe,Australia,AUS,false,164,46,210,78.10%
17,Rafael Nadal,Spain,ESP,true,71,20,91,78.02%
18,Arthur Ashe,United States,USA,false,125,36,161,77.64%
19,Clark Graebner,United States,USA,false,90,27,117,76.92%
20,Stan Smith,United States,USA,false,148,46,194,76.29%
21,Lleyton Hewitt,Australia,AUS,false,129,41,170,75.88%
22,Tom Okker,Netherlands,NED,false,110,36,146,75.34%
23,Ivan Lendl,United States,USA,false,81,27,108,75.00%
24,Patrick Rafter,Australia,AUS,false,74,25,99,74.75%
25,Mats Wilander,Sweden,SWE,false,49,17,66,74.24%
26,Mario Ancic,Croatia,CRO,false,39,14,53,73.58%
27,Andre Agassi,United States,USA,false,50,18,68,73.53%
28,Roscoe Tanner,United States,USA,false,118,43,161,73.29%
29,Pat Cash,Australia,AUS,false,99,37,136,72.79%
30,Johan Kriek,United States,USA,false,85,32,117,72.65%
31,Todd Martin,United States,USA,false,61,23,84,72.62%
32,Guillermo Vilas,Argentina,ARG,false,71,27,98,72.45%
33,Goran Ivanisevic,Croatia,CRO,false,71,28,99,71.72%
34,Richard Krajicek,Netherlands,NED,false,63,25,88,71.59%
35,Marin Cilic,Croatia,CRO,true,77,31,108,71.30%
36,Tim Henman,United Kingdom,GBR,false,84,34,118,71.19%
37,Tim Mayotte,United States,USA,false,90,37,127,70.87%
38,Ilie Nastase,Romania,ROU,false,77,32,109,70.64%
39,Greg Rusedski,United Kingdom,GBR,false,86,36,122,70.49%
40,Juan Martin Del Potro,Argentina,ARG,true,40,17,57,70.18%
41,Milos Raonic,Canada,CAN,true,49,21,70,70.00%
42,Fred Stolle,Australia,AUS,false,51,22,73,69.86%
43,Yevgeny Kafelnikov,Russian Federation,RUS,false,46,20,66,69.70%
44,Andres Gimeno,Spain,ESP,false,50,22,72,69.44%
45,Cliff Richey,United States,USA,false,45,20,65,69.23%
46,Mark Philippoussis,Australia,AUS,false,51,23,74,68.92%
47,Roberto Bautista Agut,Spain,ESP,true,35,16,51,68.63%
48,Tomas Berdych,Czech Republic,CZE,false,67,31,98,68.37%
49,Vitas Gerulaitis,United States,USA,false,59,28,87,67.82%
50,Roy Emerson,Australia,AUS,false,50,24,74,67.57%
51,Dennis Ralston,United States,USA,false,47,23,70,67.14%
52,Jo Wilfried Tsonga,France,FRA,true,51,25,76,67.11%
53,Richard Gasquet,France,FRA,true,71,35,106,66.98%
54,Bob Hewitt,South Africa,RSA,false,54,27,81,66.67%
54,Miloslav Mecir,Slovakia,SVK,false,34,17,51,66.67%
56,Kevin Curren,United States,USA,false,71,36,107,66.36%
57,John Isner,United States,USA,true,49,25,74,66.22%
58,Vijay Amritraj,India,IND,false,105,54,159,66.04%
59,Wayne Ferreira,South Africa,RSA,false,68,35,103,66.02%
60,Mal Anderson,Australia,AUS,false,52,27,79,65.82%
61,Leander Paes,India,IND,false,46,24,70,65.71%
62,Sebastien Grosjean,France,FRA,false,49,26,75,65.33%
