id,name,recordHolders_0_name,recordHolders_0_country_name,recordHolders_0_country_id,recordHolders_0_active,recordHolders_0_detail,goatPoints,value,recordHolders_1_name,recordHolders_1_country_name,recordHolders_1_country_id,recordHolders_1_active,recordHolders_1_detail,recordHolders_2_name,recordHolders_2_country_name,recordHolders_2_country_id,recordHolders_2_active,recordHolders_2_detail
WeeksAtATPNo1,Most Weeks at ATP No. 1,Novak Djokovic,Serbia,SRB,true,,"4, 2, 1",329,,,,,,,,,,
WeeksAtATPNo2,Most Weeks at ATP No. 2,Rafael Nadal,Spain,ESP,true,,,370,,,,,,,,,,
WeeksAtATPNo3,Most Weeks at ATP No. 3,Roger Federer,Switzerland,SUI,true,,,222,,,,,,,,,,
WeeksAtATPTop2,Most Weeks at ATP Top 2,Rafael Nadal,Spain,ESP,true,,"2, 1",579,,,,,,,,,,
WeeksAtATPTop3,Most Weeks at ATP Top 3,Roger Federer,Switzerland,SUI,true,,"2, 1",750,,,,,,,,,,
WeeksAtATPTop5,Most Weeks at ATP Top 5,Roger Federer,Switzerland,SUI,true,,1,859,,,,,,,,,,
WeeksAtATPTop10,Most Weeks at ATP Top 10,Roger Federer,Switzerland,SUI,true,,1,955,,,,,,,,,,
WeeksAtATPTop20,Most Weeks at ATP Top 20,Roger Federer,Switzerland,SUI,true,,,1036,,,,,,,,,,
ConsecutiveWeeksAtATPNo1,Most Consecutive Weeks at ATP No. 1,Roger Federer,Switzerland,SUI,true,02-02-2004 - 10-08-2008,"2, 1",237,,,,,,,,,,
ConsecutiveWeeksAtATPNo2,Most Consecutive Weeks at ATP No. 2,Rafael Nadal,Spain,ESP,true,25-07-2005 - 10-08-2008,,160,,,,,,,,,,
ConsecutiveWeeksAtATPNo3,Most Consecutive Weeks at ATP No. 3,Novak Djokovic,Serbia,SRB,true,13-08-2007 - 03-05-2009,,91,,,,,,,,,,
ConsecutiveWeeksAtATPTop2,Most Consecutive Weeks at ATP Top 2,Roger Federer,Switzerland,SUI,true,17-11-2003 - 27-06-2010,1,346,,,,,,,,,,
ConsecutiveWeeksAtATPTop3,Most Consecutive Weeks at ATP Top 3,Ivan Lendl,United States,USA,false,23-08-1982 - 14-07-1991,1,465,,,,,,,,,,
ConsecutiveWeeksAtATPTop5,Most Consecutive Weeks at ATP Top 5,Jimmy Connors,United States,USA,false,01-10-1973 - 04-05-1986,,658,,,,,,,,,,
ConsecutiveWeeksAtATPTop10,Most Consecutive Weeks at ATP Top 10,Rafael Nadal,Spain,ESP,true,25-04-2005 - 11-07-2021,,825,,,,,,,,,,
ConsecutiveWeeksAtATPTop20,Most Consecutive Weeks at ATP Top 20,Roger Federer,Switzerland,SUI,true,23-04-2001 - 11-07-2021,,1034,,,,,,,,,,
EndsOfSeasonAtATPNo1,Most Ends of Season at ATP No. 1,Pete Sampras,United States,USA,false,6,"4, 2, 1",6,Novak Djokovic,Serbia,SRB,true,6,,,,,
EndsOfSeasonAtATPNo2,Most Ends of Season at ATP No. 2,Rafael Nadal,Spain,ESP,true,,,7,,,,,,,,,,
EndsOfSeasonAtATPNo3,Most Ends of Season at ATP No. 3,Ivan Lendl,United States,USA,false,4,,4,Novak Djokovic,Serbia,SRB,true,4,Roger Federer,Switzerland,SUI,true,4
EndsOfSeasonAtATPTop2,Most Ends of Season at ATP Top 2,Rafael Nadal,Spain,ESP,true,,"2, 1",12,,,,,,,,,,
EndsOfSeasonAtATPTop3,Most Ends of Season at ATP Top 3,Roger Federer,Switzerland,SUI,true,,"2, 1",15,,,,,,,,,,
EndsOfSeasonAtATPTop5,Most Ends of Season at ATP Top 5,Roger Federer,Switzerland,SUI,true,,1,16,,,,,,,,,,
EndsOfSeasonAtATPTop10,Most Ends of Season at ATP Top 10,Roger Federer,Switzerland,SUI,true,,1,18,,,,,,,,,,
EndsOfSeasonAtATPTop20,Most Ends of Season at ATP Top 20,Roger Federer,Switzerland,SUI,true,,,20,,,,,,,,,,
ConsecutiveEndsOfSeasonAtATPNo1,Most Consecutive Ends of Season at ATP No. 1,Pete Sampras,United States,USA,false,1993-1998,,6,,,,,,,,,,
ConsecutiveEndsOfSeasonAtATPNo2,Most Consecutive Ends of Season at ATP No. 2,Rafael Nadal,Spain,ESP,true,2005-2007,,3,,,,,,,,,,
ConsecutiveEndsOfSeasonAtATPNo3,Most Consecutive Ends of Season at ATP No. 3,Novak Djokovic,Serbia,SRB,true,2007-2010,,4,,,,,,,,,,
ConsecutiveEndsOfSeasonAtATPTop2,Most Consecutive Ends of Season at ATP Top 2,Roger Federer,Switzerland,SUI,true,2003-2010,,8,,,,,,,,,,
ConsecutiveEndsOfSeasonAtATPTop3,Most Consecutive Ends of Season at ATP Top 3,Jimmy Connors,United States,USA,false,1973-1984,,12,,,,,,,,,,
ConsecutiveEndsOfSeasonAtATPTop5,Most Consecutive Ends of Season at ATP Top 5,Jimmy Connors,United States,USA,false,1973-1985,,13,,,,,,,,,,
