id,name,recordHolders_0_name,recordHolders_0_country_name,recordHolders_0_country_id,recordHolders_0_active,recordHolders_0_detail,value,recordHolders_1_name,recordHolders_1_country_name,recordHolders_1_country_id,recordHolders_1_active,recordHolders_1_detail,recordHolders_2_name,recordHolders_2_country_name,recordHolders_2_country_id,recordHolders_2_active,recordHolders_2_detail,goatPoints,recordHolders_3_name,recordHolders_3_country_name,recordHolders_3_country_id,recordHolders_3_active,recordHolders_3_detail,recordHolders_4_name,recordHolders_4_country_name,recordHolders_4_country_id,recordHolders_4_active,recordHolders_4_detail,recordHolders_5_name,recordHolders_5_country_name,recordHolders_5_country_id,recordHolders_5_active,recordHolders_5_detail,recordHolders_6_name,recordHolders_6_country_name,recordHolders_6_country_id,recordHolders_6_active,recordHolders_6_detail,recordHolders_7_name,recordHolders_7_country_name,recordHolders_7_country_id,recordHolders_7_active,recordHolders_7_detail,recordHolders_8_name,recordHolders_8_country_name,recordHolders_8_country_id,recordHolders_8_active,recordHolders_8_detail,recordHolders_9_name,recordHolders_9_country_name,recordHolders_9_country_id,recordHolders_9_active,recordHolders_9_detail,recordHolders_10_name,recordHolders_10_country_name,recordHolders_10_country_id,recordHolders_10_active,recordHolders_10_detail,recordHolders_11_name,recordHolders_11_country_name,recordHolders_11_country_id,recordHolders_11_active,recordHolders_11_detail,recordHolders_12_name,recordHolders_12_country_name,recordHolders_12_country_id,recordHolders_12_active,recordHolders_12_detail,recordHolders_13_name,recordHolders_13_country_name,recordHolders_13_country_id,recordHolders_13_active,recordHolders_13_detail,recordHolders_14_name,recordHolders_14_country_name,recordHolders_14_country_id,recordHolders_14_active,recordHolders_14_detail,recordHolders_15_name,recordHolders_15_country_name,recordHolders_15_country_id,recordHolders_15_active,recordHolders_15_detail,recordHolders_16_name,recordHolders_16_country_name,recordHolders_16_country_id,recordHolders_16_active,recordHolders_16_detail,recordHolders_17_name,recordHolders_17_country_name,recordHolders_17_country_id,recordHolders_17_active,recordHolders_17_detail,recordHolders_18_name,recordHolders_18_country_name,recordHolders_18_country_id,recordHolders_18_active,recordHolders_18_detail,recordHolders_19_name,recordHolders_19_country_name,recordHolders_19_country_id,recordHolders_19_active,recordHolders_19_detail,recordHolders_20_name,recordHolders_20_country_name,recordHolders_20_country_id,recordHolders_20_active,recordHolders_20_detail,recordHolders_21_name,recordHolders_21_country_name,recordHolders_21_country_id,recordHolders_21_active,recordHolders_21_detail,recordHolders_22_name,recordHolders_22_country_name,recordHolders_22_country_id,recordHolders_22_active,recordHolders_22_detail,recordHolders_23_name,recordHolders_23_country_name,recordHolders_23_country_id,recordHolders_23_active,recordHolders_23_detail,recordHolders_24_name,recordHolders_24_country_name,recordHolders_24_country_id,recordHolders_24_active,recordHolders_24_detail,recordHolders_25_name,recordHolders_25_country_name,recordHolders_25_country_id,recordHolders_25_active,recordHolders_25_detail,recordHolders_26_name,recordHolders_26_country_name,recordHolders_26_country_id,recordHolders_26_active,recordHolders_26_detail,recordHolders_27_name,recordHolders_27_country_name,recordHolders_27_country_id,recordHolders_27_active,recordHolders_27_detail,recordHolders_28_name,recordHolders_28_country_name,recordHolders_28_country_id,recordHolders_28_active,recordHolders_28_detail,recordHolders_29_name,recordHolders_29_country_name,recordHolders_29_country_id,recordHolders_29_active,recordHolders_29_detail
WinningPct,Greatest Winning Pct.,Novak Djokovic,Serbia,SRB,true,968-194/1162,83.30%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrandSlamWinningPct,Greatest Grand Slam Winning Pct.,Bjorn Borg,Sweden,SWE,false,141-16/157,89.81%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TourFinalsWinningPct,Greatest Tour Finals Winning Pct.,Ilie Nastase,Romania,ROU,false,22-3/25,88.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AltFinalsWinningPct,Greatest Alternative Tour Finals Winning Pct.,David Wheaton,United States,USA,false,6-1/7,85.71%,Greg Rusedski,United Kingdom,GBR,false,6-1/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MastersWinningPct,Greatest Masters Winning Pct.,Jimmy Connors,United States,USA,false,295-60/355,83.10%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OlympicsWinningPct,Greatest Olympics Winning Pct.,Andre Agassi,United States,USA,false,6-0/6,100.00%,Miloslav Mecir,Slovakia,SVK,false,6-0/6,Yevgeny Kafelnikov,Russian Federation,RUS,false,6-0/6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP500WinningPct,Greatest ATP 500/CS Winning Pct.,Roger Federer,Switzerland,SUI,true,178-26/204,87.25%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ATP250WinningPct,Greatest ATP 250/WS Winning Pct.,John McEnroe,United States,USA,false,228-43/271,84.13%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DavisCupWinningPct,Greatest Davis Cup Winning Pct.,Marcos Baghdatis,Cyprus,CYP,false,23-0/23,100.00%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestOf3WinningPct,Greatest Best of 3 Winning Pct.,Ivan Lendl,United States,USA,false,763-164/927,82.31%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BestOf5WinningPct,Greatest Best of 5 Winning Pct.,Rafael Nadal,Spain,ESP,true,322-43/365,88.22%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HardWinningPct,Greatest Hard Winning Pct.,Novak Djokovic,Serbia,SRB,true,613-113/726,84.44%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ClayWinningPct,Greatest Clay Winning Pct.,Rafael Nadal,Spain,ESP,true,464-43/507,91.52%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GrassWinningPct,Greatest Grass Winning Pct.,Roger Federer,Switzerland,SUI,true,192-29/221,86.88%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CarpetWinningPct,Greatest Carpet Winning Pct.,John McEnroe,United States,USA,false,350-64/414,84.54%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OutdoorWinningPct,Greatest Outdoor Winning Pct.,Rafael Nadal,Spain,ESP,true,942-167/1109,84.94%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IndoorWinningPct,Greatest Indoor Winning Pct.,John McEnroe,United States,USA,false,418-71/489,85.48%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinningPctVsNo1,Greatest Winning Pct. Vs No. 1,Richard Krajicek,Netherlands,NED,false,7-5/12,58.33%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinningPctVsTop5,Greatest Winning Pct. Vs Top 5,Bjorn Borg,Sweden,SWE,false,61-26/87,70.11%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WinningPctVsTop10,Greatest Winning Pct. Vs Top 10,Bjorn Borg,Sweden,SWE,false,117-51/168,69.64%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonWinningPct,Greatest Winning Pct. in Single Season,John McEnroe,United States,USA,false,1984 82-3/85,96.47%,,,,,,,,,,,"2, 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SeasonHardWinningPct,Greatest Hard Winning Pct. in Single Season,Roger Federer,Switzerland,SUI,true,2005 50-1/51,98.04%,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
