id,name,recordHolders_0_name,recordHolders_0_country_name,recordHolders_0_country_id,recordHolders_0_active,recordHolders_0_detail,goatPoints,value,recordHolders_1_name,recordHolders_1_country_name,recordHolders_1_country_id,recordHolders_1_active,recordHolders_1_detail,recordHolders_2_name,recordHolders_2_country_name,recordHolders_2_country_id,recordHolders_2_active,recordHolders_2_detail,recordHolders_3_name,recordHolders_3_country_name,recordHolders_3_country_id,recordHolders_3_active,recordHolders_3_detail,recordHolders_4_name,recordHolders_4_country_name,recordHolders_4_country_id,recordHolders_4_active,recordHolders_4_detail
WinningStreak,Winning Streak,Bjorn Borg,Sweden,SWE,false,1978 Davis Cup EUR - 1978 US Open,"2, 1",49,,,,,,,,,,,,,,,,,,,,
GrandSlamWinningStreak,Grand Slam Winning Streak,Novak Djokovic,Serbia,SRB,true,2015 Wimbledon - 2016 Wimbledon,"2, 1",30,,,,,,,,,,,,,,,,,,,,
TourFinalsWinningStreak,Tour Finals Winning Streak,Ivan Lendl,United States,USA,false,1985 Masters - 1988 Masters,1,15,Novak Djokovic,Serbia,SRB,true,2012 Tour Finals - 2015 Tour Finals,,,,,,,,,,,,,,,
AltFinalsWinningStreak,Alternative Tour Finals Winning Streak,Rod Laver,Australia,AUS,false,1970 Tennis Champions Classic - 1971 Dallas,,17,,,,,,,,,,,,,,,,,,,,
AllFinalsWinningStreak,All Tour Finals Winning Streak (Official and Alternative),Ivan Lendl,United States,USA,false,1985 Dallas - 1988 Masters,,18,,,,,,,,,,,,,,,,,,,,
MastersWinningStreak,Masters Winning Streak,Ivan Lendl,United States,USA,false,1987 Montreal / Toronto - 1990 Miami Masters,1,44,,,,,,,,,,,,,,,,,,,,
OlympicsWinningStreak,Olympics Winning Streak,Andy Murray,United Kingdom,GBR,true,2012 London Olympics - 2016 Rio Olympics,,12,,,,,,,,,,,,,,,,,,,,
BigTournamentWinningStreak,"Big Tournament Winning Streak (Grand Slam, All Tour Finals, Masters, Olympics)",Novak Djokovic,Serbia,SRB,true,2014 Paris Masters - 2015 Roland Garros,"2, 1",43,,,,,,,,,,,,,,,,,,,,
ATP500WinningStreak,ATP 500/CS Winning Streak,Boris Becker,Germany,GER,false,1988 Queen's Club - 1990 Tokyo Indoor,,45,,,,,,,,,,,,,,,,,,,,
ATP250WinningStreak,ATP 250/WS Winning Streak,Jimmy Connors,United States,USA,false,1974 Little Rock - 1975 South Orange,,84,,,,,,,,,,,,,,,,,,,,
SmallTournamentWinningStreak,"Small Tournament Winning Streak (ATP 500/CS, ATP 250/WS)",Ivan Lendl,United States,USA,false,1981 Montreal / Toronto - 1982 Monte Carlo,,65,,,,,,,,,,,,,,,,,,,,
DavisCupWinningStreak,Davis Cup Winning Streak,Bjorn Borg,Sweden,SWE,false,1973 Davis Cup EUR - 1980 Davis Cup EUR,,29,Rafael Nadal,Spain,ESP,true,2004 Davis Cup WG - 2019 Davis Cup Finals,,,,,,,,,,,,,,,
BestOf3WinningStreak,Best of 3 Winning Streak,Bjorn Borg,Sweden,SWE,false,1979 Bastad - 1980 Nations Cup,,53,,,,,,,,,,,,,,,,,,,,
BestOf5WinningStreak,Best of 5 Winning Streak,Bjorn Borg,Sweden,SWE,false,1977 Memphis - 1978 US Open,,43,,,,,,,,,,,,,,,,,,,,
HardWinningStreak,Hard Winning Streak,Roger Federer,Switzerland,SUI,true,2005 Rotterdam - 2006 Dubai,1,56,,,,,,,,,,,,,,,,,,,,
ClayWinningStreak,Clay Winning Streak,Rafael Nadal,Spain,ESP,true,2005 Monte Carlo Masters - 2007 Hamburg Masters,1,81,,,,,,,,,,,,,,,,,,,,
GrassWinningStreak,Grass Winning Streak,Roger Federer,Switzerland,SUI,true,2003 Halle - 2008 Wimbledon,1,65,,,,,,,,,,,,,,,,,,,,
CarpetWinningStreak,Carpet Winning Streak,John McEnroe,United States,USA,false,1983 Davis Cup WG - 1985 Chicago,1,65,,,,,,,,,,,,,,,,,,,,
OutdoorWinningStreak,Outdoor Winning Streak,Bjorn Borg,Sweden,SWE,false,1977 World Invitational Tennis Classic - 1978 US Open,1,53,,,,,,,,,,,,,,,,,,,,
IndoorWinningStreak,Indoor Winning Streak,John McEnroe,United States,USA,false,1983 Davis Cup WG - 1985 Chicago,1,75,,,,,,,,,,,,,,,,,,,,
WinningStreakVsNo1,Winning Streak Vs No. 1,Ivan Lendl,United States,USA,false,1981 Masters - 1982 Masters,1,5,Boris Becker,Germany,GER,false,1988 Wimbledon - 1990 Stuttgart Indoor,Rafael Nadal,Spain,ESP,true,2005 Roland Garros - 2006 Roland Garros,Rafael Nadal,Spain,ESP,true,2008 Monte Carlo Masters - 2010 Madrid Masters,Novak Djokovic,Serbia,SRB,true,2011 Indian Wells Masters - 2011 Wimbledon
