rank,name,country_name,country_id,active,value
1,Ivo Karlovic,Croatia,CRO,true,13687
2,John Isner,United States,USA,true,12806
3,Roger Federer,Switzerland,SUI,true,11380
4,Goran Ivanisevic,Croatia,CRO,false,10131
5,Feliciano Lopez,Spain,ESP,true,9994
6,Andy Roddick,United States,USA,false,9067
7,Pete Sampras,United States,USA,false,8689
8,Sam Querrey,United States,USA,true,8637
9,Milos Raonic,Canada,CAN,true,8130
10,Ivan Ljubicic,Croatia,CRO,false,8117
11,Richard Krajicek,Netherlands,NED,false,7648
12,Greg Rusedski,United Kingdom,GBR,false,7589
13,Marin Cilic,Croatia,CRO,true,7352
14,Kevin Anderson,South Africa,RSA,true,7262
15,Tomas Berdych,Czech Republic,CZE,false,7195
16,Mark Philippoussis,Australia,AUS,false,6696
17,Jo Wilfried Tsonga,France,FRA,true,6644
18,Gael Monfils,France,FRA,true,6262
19,Marc Rosset,Switzerland,SUI,false,6153
20,Novak Djokovic,Serbia,SRB,true,6069
21,Stan Wawrinka,Switzerland,SUI,true,5900
22,Tommy Haas,Germany,GER,false,5893
23,Andy Murray,United Kingdom,GBR,true,5840
24,Marat Safin,Russian Federation,RUS,false,5680
25,Todd Martin,United States,USA,false,5663
26,Wayne Ferreira,South Africa,RSA,false,5584
27,Nicolas Almagro,Spain,ESP,false,5477
28,Thomas Enqvist,Sweden,SWE,false,5431
29,Gilles Muller,Luxembourg,LUX,false,5349
30,Fernando Verdasco,Spain,ESP,true,5322
31,Thomas Johansson,Sweden,SWE,false,5113
32,Lleyton Hewitt,Australia,AUS,false,5100
33,Mardy Fish,United States,USA,false,4924
34,Jeremy Chardy,France,FRA,true,4750
34,Richard Gasquet,France,FRA,true,4750
36,Yevgeny Kafelnikov,Russian Federation,RUS,false,4711
37,Philipp Kohlschreiber,Germany,GER,true,4611
38,Juan Martin Del Potro,Argentina,ARG,true,4458
39,Carlos Moya,Spain,ESP,false,4404
40,Boris Becker,Germany,GER,false,4362
41,Marcos Baghdatis,Cyprus,CYP,false,4350
42,Wayne Arthurs,Australia,AUS,false,4341
43,Tim Henman,United Kingdom,GBR,false,4309
44,Gustavo Kuerten,Brazil,BRA,false,4303
45,Ernests Gulbis,Latvia,LAT,true,4245
46,Viktor Troicki,Serbia,SRB,true,4243
47,Jan Michael Gambill,United States,USA,false,4194
48,Radek Stepanek,Czech Republic,CZE,false,4112
49,Benoit Paire,France,FRA,true,4083
50,Nicolas Kiefer,Germany,GER,false,4081
51,Max Mirnyi,Belarus,BLR,false,4067
52,Andre Agassi,United States,USA,false,4055
53,Kenneth Carlsen,Denmark,DEN,false,3956
54,Robin Soderling,Sweden,SWE,false,3868
55,Nick Kyrgios,Australia,AUS,true,3842
56,Grigor Dimitrov,Bulgaria,BUL,true,3794
57,Fernando Gonzalez,Chile,CHI,false,3751
58,Xavier Malisse,Belgium,BEL,false,3722
59,Andreas Seppi,Italy,ITA,true,3719
60,Rafael Nadal,Spain,ESP,true,3716
61,Gilles Simon,France,FRA,true,3688
62,Cedric Pioline,France,FRA,false,3687
62,Richard Fromberg,Australia,AUS,false,3687
64,Patrick Rafter,Australia,AUS,false,3633
65,Marc Kevin Goellner,Germany,GER,false,3595
66,Mikhail Youzhny,Russian Federation,RUS,false,3503
67,James Blake,United States,USA,false,3473
68,Janko Tipsarevic,Serbia,SRB,false,3452
68,Michael Stich,Germany,GER,false,3452
70,Jurgen Melzer,Austria,AUT,false,3411
71,Jan Siemerink,Netherlands,NED,false,3386
72,Michael Chang,United States,USA,false,3357
73,Julien Benneteau,France,FRA,false,3331
74,Alexander Zverev,Germany,GER,true,3310
75,Tommy Robredo,Spain,ESP,true,3233
76,Dmitry Tursunov,Russian Federation,RUS,false,3219
77,Dominik Hrbaty,Slovakia,SVK,false,3181
78,Alexandr Dolgopolov,Ukraine,UKR,false,3147
79,Arnaud Clement,France,FRA,false,3142
80,Younes El Aynaoui,Morocco,MAR,false,3132
81,Robin Haase,Netherlands,NED,true,3126
82,Nicolas Mahut,France,FRA,true,3123
82,Sebastien Grosjean,France,FRA,false,3123
84,Jonas Bjorkman,Sweden,SWE,false,3098
85,Michael Llodra,France,FRA,false,3091
