rank,name,country_name,country_id,active,value
1,Ivo Karlovic,Croatia,CRO,true,19.81
2,John Isner,United States,USA,true,18.45
3,Wayne Arthurs,Australia,AUS,false,15.84
4,Milos Raonic,Canada,CAN,true,15.49
5,Nick Kyrgios,Australia,AUS,true,15.25
6,Mark Philippoussis,Australia,AUS,false,13.89
7,Goran Ivanisevic,Croatia,CRO,false,13.86
8,Gilles Muller,Luxembourg,LUX,false,13.27
9,Sam Querrey,United States,USA,true,12.83
10,Kevin Anderson,South Africa,RSA,true,12.70
11,Richard Krajicek,Netherlands,NED,false,12.62
12,Ivan Ljubicic,Croatia,CRO,false,11.95
13,Andy Roddick,United States,USA,false,11.70
14,Greg Rusedski,United Kingdom,GBR,false,11.21
15,Pete Sampras,United States,USA,false,11.01
16,Jan Michael Gambill,United States,USA,false,10.78
17,Marc Kevin Goellner,Germany,GER,false,10.70
18,Feliciano Lopez,Spain,ESP,true,10.53
19,Boris Becker,Germany,GER,false,10.44
20,Jo Wilfried Tsonga,France,FRA,true,9.89
21,Mardy Fish,United States,USA,false,9.87
22,Vasek Pospisil,Canada,CAN,true,9.60
23,Marc Rosset,Switzerland,SUI,false,9.54
24,Todd Martin,United States,USA,false,9.47
25,Ernests Gulbis,Latvia,LAT,true,9.37
26,Max Mirnyi,Belarus,BLR,false,9.33
27,Mario Ancic,Croatia,CRO,false,9.31
28,Marin Cilic,Croatia,CRO,true,9.20
29,Jonathan Stark,United States,USA,false,9.13
30,Taylor Harry Fritz,United States,USA,true,9.10
31,Jan Lennard Struff,Germany,GER,true,9.00
32,Guy Forget,France,FRA,false,8.97
33,Marat Safin,Russian Federation,RUS,false,8.94
34,Bryan Shelton,United States,USA,false,8.67
35,Pierre Hugues Herbert,France,FRA,true,8.63
36,Benoit Paire,France,FRA,true,8.51
37,Gustavo Kuerten,Brazil,BRA,false,8.47
38,Robin Soderling,Sweden,SWE,false,8.46
39,Richard Fromberg,Australia,AUS,false,8.42
40,Aljaz Bedene,Slovenia,SLO,true,8.40
41,Alexander Zverev,Germany,GER,true,8.34
42,Thomas Johansson,Sweden,SWE,false,8.33
43,Nicolas Almagro,Spain,ESP,false,8.30
44,Michael Stich,Germany,GER,false,8.28
45,Denis Shapovalov,Canada,CAN,true,8.24
