rank,name,country_name,country_id,active,value
1,Taylor Dent,United States,USA,false,5.81
2,Sandon Stolle,Australia,AUS,false,5.45
3,Marc Rosset,Switzerland,SUI,false,5.31
4,Bryan Shelton,United States,USA,false,5.27
5,Wayne Arthurs,Australia,AUS,false,5.19
6,Denis Shapovalov,Canada,CAN,true,5.18
7,Mark Philippoussis,Australia,AUS,false,5.17
8,David Prinosil,Germany,GER,false,5.01
9,Benoit Paire,France,FRA,true,4.99
10,Daniel Vacek,Czech Republic,CZE,false,4.93
11,Goran Ivanisevic,Croatia,CRO,false,4.85
12,Boris Becker,Germany,GER,false,4.82
13,Hendrik Dreekmann,Germany,GER,false,4.81
14,Petr Korda,Czech Republic,CZE,false,4.77
15,Karol Kucera,Slovakia,SVK,false,4.76
16,Matthew Ebden,Australia,AUS,true,4.73
17,Marc Kevin Goellner,Germany,GER,false,4.72
18,Franco Squillari,Argentina,ARG,false,4.67
19,Jan Siemerink,Netherlands,NED,false,4.65
20,Greg Rusedski,United Kingdom,GBR,false,4.65
21,Thomas Enqvist,Sweden,SWE,false,4.65
22,Lukasz Kubot,Poland,POL,false,4.58
23,Nikoloz Basilashvili,Georgia,GEO,true,4.55
24,David Wheaton,United States,USA,false,4.50
25,Todd Woodbridge,Australia,AUS,false,4.47
26,Stefano Pescosolido,Italy,ITA,false,4.38
27,Justin Gimelstob,United States,USA,false,4.38
28,Jack Sock,United States,USA,true,4.36
29,Alexander Zverev,Germany,GER,true,4.34
30,Andrei Olhovskiy,Russian Federation,RUS,false,4.32
31,Chris Woodruff,United States,USA,false,4.26
32,Ernests Gulbis,Latvia,LAT,true,4.22
33,Jeremy Chardy,France,FRA,true,4.19
34,Dominik Hrbaty,Slovakia,SVK,false,4.12
35,Fernando Gonzalez,Chile,CHI,false,4.08
36,Yevgeny Kafelnikov,Russian Federation,RUS,false,4.08
37,Michael Stich,Germany,GER,false,4.01
38,Teymuraz Gabashvili,Russian Federation,RUS,false,3.96
39,Guillermo Garcia Lopez,Spain,ESP,false,3.96
40,Fabio Fognini,Italy,ITA,true,3.94
41,Fernando Verdasco,Spain,ESP,true,3.93
42,Pierre Hugues Herbert,France,FRA,true,3.91
43,Jeff Tarango,United States,USA,false,3.91
44,Tomas Carbonell,Spain,ESP,false,3.90
45,Dmitry Tursunov,Russian Federation,RUS,false,3.89
46,Jacco Eltingh,Netherlands,NED,false,3.89
47,Tommy Haas,Germany,GER,false,3.88
48,Donald Young,United States,USA,true,3.87
49,Nicolas Kiefer,Germany,GER,false,3.81
50,Jerome Golmard,France,FRA,false,3.77
51,Lucas Pouille,France,FRA,true,3.76
52,Jordi Burillo,Spain,ESP,false,3.74
53,Richard Fromberg,Australia,AUS,false,3.74
54,Cedric Pioline,France,FRA,false,3.73
55,Pete Sampras,United States,USA,false,3.73
56,Lars Burgsmuller,Germany,GER,false,3.72
57,Stefan Edberg,Sweden,SWE,false,3.71
58,Guillermo Coria,Argentina,ARG,false,3.71
59,Bohdan Ulihrach,Czech Republic,CZE,false,3.69
60,Brad Gilbert,United States,USA,false,3.67
