rank,name,country_name,country_id,active,value
1,Fernando Verdasco,Spain,ESP,true,3802
2,Goran Ivanisevic,Croatia,CRO,false,3546
3,Marc Rosset,Switzerland,SUI,false,3422
4,Yevgeny Kafelnikov,Russian Federation,RUS,false,3413
5,Tommy Haas,Germany,GER,false,3300
6,Feliciano Lopez,Spain,ESP,true,3264
7,Thomas Enqvist,Sweden,SWE,false,3261
8,Greg Rusedski,United Kingdom,GBR,false,3145
9,Lleyton Hewitt,Australia,AUS,false,2953
10,Pete Sampras,United States,USA,false,2940
11,David Ferrer,Spain,ESP,false,2811
12,Roger Federer,Switzerland,SUI,true,2747
13,Gael Monfils,France,FRA,true,2725
14,Fabio Fognini,Italy,ITA,true,2686
15,Tim Henman,United Kingdom,GBR,false,2600
16,Dominik Hrbaty,Slovakia,SVK,false,2582
17,Guillermo Garcia Lopez,Spain,ESP,false,2576
18,Novak Djokovic,Serbia,SRB,true,2566
19,Jonas Bjorkman,Sweden,SWE,false,2504
20,Mark Philippoussis,Australia,AUS,false,2492
21,Jeremy Chardy,France,FRA,true,2468
22,Ivo Karlovic,Croatia,CRO,true,2451
23,Petr Korda,Czech Republic,CZE,false,2444
24,Benoit Paire,France,FRA,true,2395
25,Marin Cilic,Croatia,CRO,true,2364
26,Cedric Pioline,France,FRA,false,2363
27,Jan Siemerink,Netherlands,NED,false,2354
28,Mikhail Youzhny,Russian Federation,RUS,false,2326
29,Karol Kucera,Slovakia,SVK,false,2315
30,Wayne Ferreira,South Africa,RSA,false,2306
31,Sam Querrey,United States,USA,true,2294
32,Tomas Berdych,Czech Republic,CZE,false,2290
33,Nicolas Kiefer,Germany,GER,false,2287
34,Richard Krajicek,Netherlands,NED,false,2191
35,Carlos Moya,Spain,ESP,false,2186
36,Fernando Gonzalez,Chile,CHI,false,2184
37,Andy Murray,United Kingdom,GBR,true,2172
38,Stan Wawrinka,Switzerland,SUI,true,2123
39,Andre Agassi,United States,USA,false,2089
40,Andreas Seppi,Italy,ITA,true,2078
41,Richard Gasquet,France,FRA,true,2067
42,Nikolay Davydenko,Russian Federation,RUS,false,2041
43,Tommy Robredo,Spain,ESP,true,2038
44,Radek Stepanek,Czech Republic,CZE,false,2020
45,Boris Becker,Germany,GER,false,2014
46,Fabrice Santoro,France,FRA,false,1988
47,Gilles Simon,France,FRA,true,1977
48,Todd Martin,United States,USA,false,1956
49,Marcos Baghdatis,Cyprus,CYP,false,1954
50,Rainer Schuettler,Germany,GER,false,1939
51,Rafael Nadal,Spain,ESP,true,1935
52,Grigor Dimitrov,Bulgaria,BUL,true,1916
53,Ernests Gulbis,Latvia,LAT,true,1910
54,Julien Benneteau,France,FRA,false,1883
55,David Prinosil,Germany,GER,false,1869
56,Daniel Vacek,Czech Republic,CZE,false,1868
57,Patrick Rafter,Australia,AUS,false,1858
58,Sjeng Schalken,Netherlands,NED,false,1842
59,Todd Woodbridge,Australia,AUS,false,1825
60,Jurgen Melzer,Austria,AUT,false,1824
61,Vincent Spadea,United States,USA,false,1791
62,David Nalbandian,Argentina,ARG,false,1787
63,Jeff Tarango,United States,USA,false,1785
63,Magnus Gustafsson,Sweden,SWE,false,1785
65,Thomas Johansson,Sweden,SWE,false,1773
66,Paul Henri Mathieu,France,FRA,false,1759
67,Andrei Medvedev,Ukraine,UKR,false,1739
68,Arnaud Clement,France,FRA,false,1733
69,Philipp Kohlschreiber,Germany,GER,true,1731
70,Alexander Zverev,Germany,GER,true,1722
71,Kevin Anderson,South Africa,RSA,true,1718
72,Milos Raonic,Canada,CAN,true,1714
73,Albert Montanes,Spain,ESP,false,1707
74,Dmitry Tursunov,Russian Federation,RUS,false,1690
