rank,name,country_name,country_id,active,value
1,Guillermo Coria,Argentina,ARG,false,9.17
2,Andy Murray,United Kingdom,GBR,true,8.99
3,Andre Agassi,United States,USA,false,8.96
4,Diego Sebastian Schwartzman,Argentina,ARG,true,8.93
5,Lleyton Hewitt,Australia,AUS,false,8.92
6,Novak Djokovic,Serbia,SRB,true,8.83
7,Rafael Nadal,Spain,ESP,true,8.78
8,Stefan Edberg,Sweden,SWE,false,8.68
9,Gaston Gaudio,Argentina,ARG,false,8.62
10,Michael Chang,United States,USA,false,8.60
11,David Nalbandian,Argentina,ARG,false,8.57
12,David Ferrer,Spain,ESP,false,8.55
13,Slava Dosedel,Czech Republic,CZE,false,8.51
14,Jordi Arrese,Spain,ESP,false,8.50
15,Petr Korda,Czech Republic,CZE,false,8.42
16,Gilbert Schaller,Austria,AUT,false,8.41
17,Alberto Berasategui,Spain,ESP,false,8.40
18,Magnus Gustafsson,Sweden,SWE,false,8.39
19,Thomas Muster,Austria,AUT,false,8.38
20,Carlos Costa,Spain,ESP,false,8.37
21,Juan Carlos Ferrero,Spain,ESP,false,8.34
22,Aaron Krickstein,United States,USA,false,8.30
23,Andrei Chesnokov,Russian Federation,RUS,false,8.25
24,Alex Corretja,Spain,ESP,false,8.23
25,David Goffin,Belgium,BEL,true,8.23
26,Andrei Medvedev,Ukraine,UKR,false,8.22
27,Jaime Yzaga,Peru,PER,false,8.21
28,Ivan Lendl,United States,USA,false,8.20
29,Roger Federer,Switzerland,SUI,true,8.14
30,Sebastien Grosjean,France,FRA,false,8.14
31,Tomas Carbonell,Spain,ESP,false,8.10
32,Guillermo Canas,Argentina,ARG,false,8.09
33,Kei Nishikori,Japan,JPN,true,8.08
34,Francisco Clavet,Spain,ESP,false,8.08
35,Chris Woodruff,United States,USA,false,8.06
36,Juan Monaco,Argentina,ARG,false,8.05
37,Nikolay Davydenko,Russian Federation,RUS,false,8.05
38,Tim Henman,United Kingdom,GBR,false,8.02
39,Karol Kucera,Slovakia,SVK,false,8.01
40,Jonas Bjorkman,Sweden,SWE,false,8.00
41,Juan Ignacio Chela,Argentina,ARG,false,7.98
42,Sergi Bruguera,Spain,ESP,false,7.97
43,Marcelo Rios,Chile,CHI,false,7.95
44,Yevgeny Kafelnikov,Russian Federation,RUS,false,7.91
45,Jiri Novak,Czech Republic,CZE,false,7.85
46,Christian Ruud,Norway,NOR,false,7.85
47,Patrick McEnroe,United States,USA,false,7.85
48,Albert Costa,Spain,ESP,false,7.84
49,Carlos Moya,Spain,ESP,false,7.81
50,Franco Squillari,Argentina,ARG,false,7.81
51,Alexander Zverev,Germany,GER,true,7.78
52,Andrea Gaudenzi,Italy,ITA,false,7.78
53,Roberto Bautista Agut,Spain,ESP,true,7.77
54,Wayne Ferreira,South Africa,RSA,false,7.77
55,Fabio Fognini,Italy,ITA,true,7.76
56,Mikael Tillstrom,Sweden,SWE,false,7.76
57,Boris Becker,Germany,GER,false,7.75
58,Felix Mantilla,Spain,ESP,false,7.75
59,Thomas Enqvist,Sweden,SWE,false,7.73
60,Gilles Simon,France,FRA,true,7.72
61,Fabrice Santoro,France,FRA,false,7.71
62,Marcelo Filippini,Uruguay,URU,false,7.66
63,Jim Courier,United States,USA,false,7.66
64,Gael Monfils,France,FRA,true,7.66
65,Damir Dzumhur,Bosnia and Herzegovina,BIH,true,7.66
66,Mariano Zabaleta,Argentina,ARG,false,7.66
67,Todd Woodbridge,Australia,AUS,false,7.65
68,Pete Sampras,United States,USA,false,7.64
69,Dominic Thiem,Austria,AUT,true,7.64
70,Richey Reneberg,United States,USA,false,7.63
71,Nicolas Lapentti,Ecuador,ECU,false,7.63
72,David Sanchez,Spain,ESP,false,7.63
73,Fernando Vicente,Spain,ESP,false,7.62
74,Stan Wawrinka,Switzerland,SUI,true,7.61
75,Dominik Hrbaty,Slovakia,SVK,false,7.60
76,Andrei Cherkasov,Russian Federation,RUS,false,7.59
77,Tommy Robredo,Spain,ESP,true,7.58
78,Mark Woodforde,Australia,AUS,false,7.58
79,Jason Stoltenberg,Australia,AUS,false,7.57
80,Renzo Furlan,Italy,ITA,false,7.57
81,Marat Safin,Russian Federation,RUS,false,7.56
82,Brad Gilbert,United States,USA,false,7.56
83,Gustavo Kuerten,Brazil,BRA,false,7.54
84,Filippo Volandri,Italy,ITA,false,7.54
85,Mikhail Youzhny,Russian Federation,RUS,false,7.53
86,Nicolas Escude,France,FRA,false,7.52
87,Daniil Medvedev,Russian Federation,RUS,true,7.51
88,Marcos Ondruska,South Africa,RSA,false,7.51
89,Marin Cilic,Croatia,CRO,true,7.50
90,Fernando Verdasco,Spain,ESP,true,7.50
91,Juan Martin Del Potro,Argentina,ARG,true,7.49
92,Cedric Pioline,France,FRA,false,7.49
93,Andrey Rublev,Russian Federation,RUS,true,7.48
94,Hernan Gumy,Argentina,ARG,false,7.47
95,Bohdan Ulihrach,Czech Republic,CZE,false,7.46
96,Alexander Volkov,Russian Federation,RUS,false,7.46
97,Benoit Paire,France,FRA,true,7.45
98,Karel Novacek,Czech Republic,CZE,false,7.45
99,Fernando Meligeni,Brazil,BRA,false,7.42
100,Arnaud Boetsch,France,FRA,false,7.42
101,Javier Sanchez,Spain,ESP,false,7.42
102,Guido Pella,Argentina,ARG,true,7.42
103,Sjeng Schalken,Netherlands,NED,false,7.42
104,David Wheaton,United States,USA,false,7.41
105,Magnus Norman,Sweden,SWE,false,7.39
106,James Blake,United States,USA,false,7.38
107,Michael Stich,Germany,GER,false,7.38
108,Bernd Karbacher,Germany,GER,false,7.36
109,Byron Black,Zimbabwe,ZIM,false,7.36
110,Agustin Calleri,Argentina,ARG,false,7.36
111,Nikoloz Basilashvili,Georgia,GEO,true,7.35
112,Pablo Andujar,Spain,ESP,true,7.34
113,Arnaud Clement,France,FRA,false,7.34
114,Todd Martin,United States,USA,false,7.33
115,Jeff Tarango,United States,USA,false,7.32
116,Hicham Arazi,Morocco,MAR,false,7.32
117,Jarkko Nieminen,Finland,FIN,false,7.29
118,Pablo Carreno Busta,Spain,ESP,true,7.28
119,Malivai Washington,United States,USA,false,7.26
120,Dudi Sela,Israel,ISR,false,7.25
121,Ronald Agenor,United States,USA,false,7.22
122,Richard Gasquet,France,FRA,true,7.21
123,Davide Sanguinetti,Italy,ITA,false,7.21
124,Carlos Berlocq,Argentina,ARG,false,7.20
125,Hyung Taik Lee,"Korea, Republic of",KOR,false,7.19
126,Grigor Dimitrov,Bulgaria,BUL,true,7.19
127,Andreas Seppi,Italy,ITA,true,7.18
128,Tommy Haas,Germany,GER,false,7.18
129,Vincent Spadea,United States,USA,false,7.18
130,Olivier Rochus,Belgium,BEL,false,7.17
131,Guillermo Garcia Lopez,Spain,ESP,false,7.17
132,Rainer Schuettler,Germany,GER,false,7.17
133,Brett Steven,New Zealand,NZL,false,7.15
134,Stefano Pescosolido,Italy,ITA,false,7.15
135,Hendrik Dreekmann,Germany,GER,false,7.15
136,Xavier Malisse,Belgium,BEL,false,7.14
137,Albert Portas,Spain,ESP,false,7.13
138,Fernando Gonzalez,Chile,CHI,false,7.13
139,Robby Ginepri,United States,USA,false,7.12
140,Amos Mansdorf,Israel,ISR,false,7.11
141,Sargis Sargsian,Armenia,ARM,false,7.10
142,Patrick Rafter,Australia,AUS,false,7.09
143,Nicklas Kulti,Sweden,SWE,false,7.08
144,Marcos Baghdatis,Cyprus,CYP,false,7.08
145,Andrei Pavel,Romania,ROU,false,7.08
146,Jurgen Melzer,Austria,AUT,false,7.07
147,Thomaz Bellucci,Brazil,BRA,true,7.05
148,Magnus Larsson,Sweden,SWE,false,7.03
149,Nicolas Kiefer,Germany,GER,false,7.02
150,Emilio Sanchez,Spain,ESP,false,7.02
151,John Millman,Australia,AUS,true,7.01
152,Sandon Stolle,Australia,AUS,false,7.01
153,Julien Benneteau,France,FRA,false,7.01
154,Gianluca Pozzi,Italy,ITA,false,7.01
155,Tomas Berdych,Czech Republic,CZE,false,7.00
156,Mario Ancic,Croatia,CRO,false,6.97
157,Joao Sousa,Portugal,POR,true,6.97
158,Javier Frana,Argentina,ARG,false,6.97
159,Martin Klizan,Slovakia,SVK,true,6.96
160,Nicolas Almagro,Spain,ESP,false,6.96
161,Stefan Koubek,Austria,AUT,false,6.96
162,Radek Stepanek,Czech Republic,CZE,false,6.95
163,Albert Ramos,Spain,ESP,true,6.95
164,Nicolas Massu,Chile,CHI,false,6.95
165,Wally Masur,Australia,AUS,false,6.95
166,Karim Alami,Morocco,MAR,false,6.95
167,Christophe Rochus,Belgium,BEL,false,6.94
168,Lukasz Kubot,Poland,POL,false,6.93
169,Alberto Martin,Spain,ESP,false,6.93
170,Federico Delbonis,Argentina,ARG,true,6.92
171,Viktor Troicki,Serbia,SRB,true,6.91
172,Guy Forget,France,FRA,false,6.90
173,Mikhail Kukushkin,Kazakhstan,KAZ,true,6.89
174,Marcel Granollers,Spain,ESP,true,6.84
175,Karen Khachanov,Russian Federation,RUS,true,6.84
176,Ricardas Berankis,Lithuania,LTU,true,6.84
177,Richard Krajicek,Netherlands,NED,false,6.84
178,Richard Fromberg,Australia,AUS,false,6.83
179,Robin Soderling,Sweden,SWE,false,6.82
180,Jordi Burillo,Spain,ESP,false,6.81
181,Edouard Roger Vasselin,France,FRA,false,6.79
182,Thomas Johansson,Sweden,SWE,false,6.78
183,Igor Andreev,Russian Federation,RUS,false,6.76
184,Philipp Kohlschreiber,Germany,GER,true,6.75
185,Alexandr Dolgopolov,Ukraine,UKR,false,6.72
186,Adrian Voinea,Romania,ROU,false,6.71
187,Borna Coric,Croatia,CRO,true,6.71
188,Paul Haarhuis,Netherlands,NED,false,6.70
189,Michael Russell,United States,USA,false,6.69
