rank,name,country_name,country_id,active,value
1,Guillermo Perez Roldan,Argentina,ARG,false,35.83%
2,Francisco Roig,Spain,ESP,false,35.57%
3,Guillermo Coria,Argentina,ARG,false,35.43%
4,Franco Davin,Argentina,ARG,false,34.72%
5,Bart Wuyts,Belgium,BEL,false,34.62%
6,Magnus Gustafsson,Sweden,SWE,false,34.30%
7,Rafael Nadal,Spain,ESP,true,34.24%
8,Frederic Fontang,France,FRA,false,33.96%
9,Jordi Arrese,Spain,ESP,false,33.94%
10,Horacio De La Pena,Argentina,ARG,false,33.85%
11,Novak Djokovic,Serbia,SRB,true,33.77%
12,Jaime Oncins,Brazil,BRA,false,33.71%
13,Slava Dosedel,Czech Republic,CZE,false,33.70%
14,Goran Prpic,Croatia,CRO,false,33.66%
15,Alberto Berasategui,Spain,ESP,false,33.59%
16,Tomas Carbonell,Spain,ESP,false,33.59%
17,Dimitri Poliakov,Ukraine,UKR,false,33.49%
18,David Ferrer,Spain,ESP,false,33.39%
19,Diego Sebastian Schwartzman,Argentina,ARG,true,33.35%
20,Andy Murray,United Kingdom,GBR,true,33.31%
21,Martin Jaite,Argentina,ARG,false,33.26%
22,Mark Koevermans,Netherlands,NED,false,33.20%
23,Filippo Volandri,Italy,ITA,false,33.12%
24,Stefan Edberg,Sweden,SWE,false,33.06%
25,Nikolay Davydenko,Russian Federation,RUS,false,33.04%
26,Gilbert Schaller,Austria,AUT,false,33.02%
27,Guillermo Canas,Argentina,ARG,false,33.02%
28,Andres Gomez,Ecuador,ECU,false,32.99%
29,Karol Kucera,Slovakia,SVK,false,32.95%
30,Andrei Chesnokov,Russian Federation,RUS,false,32.90%
31,Flavio Saretta,Brazil,BRA,false,32.80%
32,Juan Ignacio Chela,Argentina,ARG,false,32.73%
33,Juan Monaco,Argentina,ARG,false,32.72%
34,Brad Gilbert,United States,USA,false,32.66%
35,Sergi Bruguera,Spain,ESP,false,32.55%
36,David Sanchez,Spain,ESP,false,32.44%
37,Marcelo Filippini,Uruguay,URU,false,32.41%
38,Roger Federer,Switzerland,SUI,true,32.37%
39,Marcos Ondruska,South Africa,RSA,false,32.26%
40,Andrei Medvedev,Ukraine,UKR,false,32.26%
41,Horst Skoff,Austria,AUT,false,32.25%
42,Carlos Costa,Spain,ESP,false,32.25%
43,Michael Chang,United States,USA,false,32.24%
44,Jimmy Connors,United States,USA,false,32.20%
45,Jannik Sinner,Italy,ITA,true,32.17%
46,Christian Bergstrom,Sweden,SWE,false,32.17%
47,Jonas Svensson,Sweden,SWE,false,32.16%
48,Lleyton Hewitt,Australia,AUS,false,32.07%
49,Alex Corretja,Spain,ESP,false,32.06%
50,Thomas Muster,Austria,AUT,false,32.05%
51,David Nalbandian,Argentina,ARG,false,31.98%
52,Gaston Gaudio,Argentina,ARG,false,31.94%
53,Jaume Munar,Spain,ESP,true,31.92%
54,John McEnroe,United States,USA,false,31.88%
55,Emilio Sanchez,Spain,ESP,false,31.87%
56,Damir Dzumhur,Bosnia and Herzegovina,BIH,true,31.86%
57,Petr Korda,Czech Republic,CZE,false,31.86%
58,Gael Monfils,France,FRA,true,31.83%
59,Jaime Yzaga,Peru,PER,false,31.80%
60,Fabio Fognini,Italy,ITA,true,31.76%
61,Renzo Furlan,Italy,ITA,false,31.73%
62,Flavio Cipolla,Italy,ITA,false,31.71%
63,Marton Fucsovics,Hungary,HUN,true,31.71%
64,Arnaud Di Pasquale,France,FRA,false,31.70%
65,Javier Sanchez,Spain,ESP,false,31.66%
66,Franco Squillari,Argentina,ARG,false,31.65%
67,Thierry Champion,France,FRA,false,31.63%
68,Francisco Clavet,Spain,ESP,false,31.63%
69,Tim Henman,United Kingdom,GBR,false,31.60%
70,Fabrice Santoro,France,FRA,false,31.54%
71,Gilad Bloom,Israel,ISR,false,31.52%
72,Benoit Paire,France,FRA,true,31.51%
73,Grant Stafford,South Africa,RSA,false,31.49%
74,Jason Stoltenberg,Australia,AUS,false,31.45%
75,Mauricio Hadad,Colombia,COL,false,31.42%
76,Andre Agassi,United States,USA,false,31.37%
77,Mariano Zabaleta,Argentina,ARG,false,31.34%
78,Fernando Meligeni,Brazil,BRA,false,31.34%
79,Luis Herrera,Mexico,MEX,false,31.32%
80,Ivan Lendl,United States,USA,false,31.32%
81,Fernando Vicente,Spain,ESP,false,31.30%
82,Gilles Simon,France,FRA,true,31.29%
83,Andrea Gaudenzi,Italy,ITA,false,31.27%
84,Marcelo Rios,Chile,CHI,false,31.27%
85,Alberto Martin,Spain,ESP,false,31.25%
86,David Goffin,Belgium,BEL,true,31.22%
87,Oliver Gross,Germany,GER,false,31.22%
88,Juan Antonio Marin,Costa Rica,CRC,false,31.18%
89,Gastao Elias,Portugal,POR,false,31.13%
90,Karim Alami,Morocco,MAR,false,31.13%
91,Cedrik Marcel Stebe,Germany,GER,true,31.13%
92,Jimmy Arias,United States,USA,false,31.12%
93,Christian Ruud,Norway,NOR,false,31.08%
94,Christo Van Rensburg,South Africa,RSA,false,31.08%
95,Jean Rene Lisnard,Monaco,MON,false,31.03%
96,Carlos Moya,Spain,ESP,false,31.02%
97,Markus Hipfl,Austria,AUT,false,31.00%
98,Carlos Berlocq,Argentina,ARG,false,30.96%
99,Henrik Holm,Sweden,SWE,false,30.96%
100,Santiago Ventura,Spain,ESP,false,30.86%
101,Sebastien Grosjean,France,FRA,false,30.84%
102,Jiri Novak,Czech Republic,CZE,false,30.83%
103,Christian Garin,Chile,CHI,true,30.80%
104,Olivier Mutis,France,FRA,false,30.79%
105,Anders Jarryd,Sweden,SWE,false,30.78%
106,Hernan Gumy,Argentina,ARG,false,30.75%
107,Claudio Mezzadri,Switzerland,SUI,false,30.74%
108,Tommy Robredo,Spain,ESP,true,30.73%
109,Felix Mantilla,Spain,ESP,false,30.72%
110,Corentin Moutet,France,FRA,true,30.70%
111,Gabriel Markus,Argentina,ARG,false,30.66%
112,Pablo Andujar,Spain,ESP,true,30.65%
113,Rainer Schuettler,Germany,GER,false,30.64%
114,Jordi Burillo,Spain,ESP,false,30.59%
115,Michel Kratochvil,Switzerland,SUI,false,30.58%
116,Marcos Aurelio Gorriz,Spain,ESP,false,30.58%
117,Alexander Zverev,Germany,GER,true,30.57%
118,Nicolas Escude,France,FRA,false,30.57%
119,Henri Leconte,France,FRA,false,30.54%
120,Roberto Bautista Agut,Spain,ESP,true,30.52%
121,Aaron Krickstein,United States,USA,false,30.52%
122,Kei Nishikori,Japan,JPN,true,30.50%
123,Agustin Calleri,Argentina,ARG,false,30.50%
124,Paul Goldstein,United States,USA,false,30.50%
125,Fernando Verdasco,Spain,ESP,true,30.47%
126,Albert Costa,Spain,ESP,false,30.46%
127,Michael Stich,Germany,GER,false,30.45%
128,Malivai Washington,United States,USA,false,30.36%
129,Michal Tabara,Czech Republic,CZE,false,30.35%
130,Xavier Malisse,Belgium,BEL,false,30.32%
131,Marcel Granollers,Spain,ESP,true,30.31%
132,Andrey Rublev,Russian Federation,RUS,true,30.30%
133,Richard Gasquet,France,FRA,true,30.28%
134,Viktor Troicki,Serbia,SRB,true,30.28%
135,Karel Novacek,Czech Republic,CZE,false,30.28%
136,Dominic Thiem,Austria,AUT,true,30.26%
137,Lars Jonsson,Sweden,SWE,false,30.26%
138,Maximo Gonzalez,Argentina,ARG,false,30.23%
139,Stefan Koubek,Austria,AUT,false,30.22%
140,Cameron Norrie,United Kingdom,GBR,true,30.19%
141,Jonas Bjorkman,Sweden,SWE,false,30.18%
142,James Blake,United States,USA,false,30.16%
143,Dudi Sela,Israel,ISR,false,30.16%
144,Diego Nargiso,Italy,ITA,false,30.15%
145,Arnaud Boetsch,France,FRA,false,30.14%
146,Carl Uwe Steeb,Germany,GER,false,30.14%
147,Derrick Rostagno,United States,USA,false,30.13%
148,Todd Woodbridge,Australia,AUS,false,30.12%
149,Daniil Medvedev,Russian Federation,RUS,true,30.12%
150,Julian Alonso,Spain,ESP,false,30.11%
151,Juan Carlos Ferrero,Spain,ESP,false,30.11%
152,Marin Cilic,Croatia,CRO,true,30.07%
153,Hyeon Chung,"Korea, Republic of",KOR,true,30.05%
154,Todd Witsken,United States,USA,false,30.02%
155,Mark Woodforde,Australia,AUS,false,30.01%
156,Mikhail Youzhny,Russian Federation,RUS,false,30.01%
157,Gianluca Pozzi,Italy,ITA,false,30.01%
158,Wayne Ferreira,South Africa,RSA,false,29.99%
159,Nicolas Kiefer,Germany,GER,false,29.98%
160,Stan Wawrinka,Switzerland,SUI,true,29.97%
161,Jan Hernych,Czech Republic,CZE,false,29.97%
