rank,name,country_name,country_id,active,value
1,Alberto Berasategui,Spain,ESP,false,56.31%
2,Andre Agassi,United States,USA,false,55.82%
3,Patrick McEnroe,United States,USA,false,55.40%
4,Thomas Muster,Austria,AUT,false,55.28%
5,Rafael Nadal,Spain,ESP,true,55.28%
6,Novak Djokovic,Serbia,SRB,true,55.16%
7,Michael Chang,United States,USA,false,55.11%
8,Diego Sebastian Schwartzman,Argentina,ARG,true,55.04%
9,Byron Black,Zimbabwe,ZIM,false,55.01%
10,Andy Murray,United Kingdom,GBR,true,55.00%
11,Carlos Costa,Spain,ESP,false,54.90%
12,Guillermo Coria,Argentina,ARG,false,54.83%
13,David Nalbandian,Argentina,ARG,false,54.70%
14,Steve Bryan,United States,USA,false,54.62%
15,David Ferrer,Spain,ESP,false,54.39%
16,Jordi Arrese,Spain,ESP,false,54.32%
17,Bart Wuyts,Belgium,BEL,false,54.28%
18,Andrei Cherkasov,Russian Federation,RUS,false,54.17%
19,Grant Stafford,South Africa,RSA,false,54.06%
20,Gilbert Schaller,Austria,AUT,false,53.95%
21,Slava Dosedel,Czech Republic,CZE,false,53.90%
22,Sergi Bruguera,Spain,ESP,false,53.87%
23,Lleyton Hewitt,Australia,AUS,false,53.72%
24,Aaron Krickstein,United States,USA,false,53.59%
25,Francisco Clavet,Spain,ESP,false,53.53%
26,Yoshihito Nishioka,Japan,JPN,true,53.38%
27,Stefan Edberg,Sweden,SWE,false,53.38%
28,Jonas Bjorkman,Sweden,SWE,false,53.35%
29,Marcelo Rios,Chile,CHI,false,53.34%
30,Nikolay Davydenko,Russian Federation,RUS,false,53.31%
31,Felix Mantilla,Spain,ESP,false,53.28%
32,Andrey Rublev,Russian Federation,RUS,true,53.25%
33,Jaime Oncins,Brazil,BRA,false,53.24%
34,Roberto Bautista Agut,Spain,ESP,true,53.23%
35,Thomas Enqvist,Sweden,SWE,false,53.21%
36,Guillermo Perez Roldan,Argentina,ARG,false,53.16%
37,Goran Prpic,Croatia,CRO,false,53.15%
38,Franco Davin,Argentina,ARG,false,53.09%
39,Chris Wilkinson,United Kingdom,GBR,false,53.08%
40,Kei Nishikori,Japan,JPN,true,53.07%
41,Wayne Black,Zimbabwe,ZIM,false,53.06%
42,Michael Joyce,United States,USA,false,53.06%
43,Daniil Medvedev,Russian Federation,RUS,true,53.04%
44,Jimmy Connors,United States,USA,false,53.04%
45,Petr Korda,Czech Republic,CZE,false,52.95%
46,Gaston Gaudio,Argentina,ARG,false,52.91%
47,David Goffin,Belgium,BEL,true,52.91%
48,Richey Reneberg,United States,USA,false,52.86%
49,Todd Woodbridge,Australia,AUS,false,52.82%
50,Ivan Lendl,United States,USA,false,52.76%
51,Horacio De La Pena,Argentina,ARG,false,52.74%
52,Andrei Chesnokov,Russian Federation,RUS,false,52.72%
53,Tomas Carbonell,Spain,ESP,false,52.70%
54,Yevgeny Kafelnikov,Russian Federation,RUS,false,52.67%
55,Christian Ruud,Norway,NOR,false,52.65%
56,Gilles Simon,France,FRA,true,52.61%
57,Jim Courier,United States,USA,false,52.60%
58,Hyeon Chung,"Korea, Republic of",KOR,true,52.55%
59,Olivier Rochus,Belgium,BEL,false,52.53%
60,Bohdan Ulihrach,Czech Republic,CZE,false,52.51%
61,Michal Tabara,Czech Republic,CZE,false,52.48%
62,Gabriel Markus,Argentina,ARG,false,52.44%
63,Hernan Gumy,Argentina,ARG,false,52.43%
64,Juan Monaco,Argentina,ARG,false,52.43%
65,Jiri Novak,Czech Republic,CZE,false,52.38%
66,David Nainkin,South Africa,RSA,false,52.37%
67,Dominik Hrbaty,Slovakia,SVK,false,52.34%
68,Roberto Carretero,Spain,ESP,false,52.34%
69,Juan Carlos Ferrero,Spain,ESP,false,52.25%
70,Tomas Nydahl,Sweden,SWE,false,52.24%
71,Paul Goldstein,United States,USA,false,52.22%
72,Christian Bergstrom,Sweden,SWE,false,52.22%
73,Mark Knowles,Bahamas,BAH,false,52.22%
74,Andrei Medvedev,Ukraine,UKR,false,52.21%
75,Alex Corretja,Spain,ESP,false,52.21%
76,David Wheaton,United States,USA,false,52.09%
77,Frederik Fetterlein,Denmark,DEN,false,52.09%
78,Filippo Volandri,Italy,ITA,false,52.08%
79,Pablo Carreno Busta,Spain,ESP,true,52.07%
80,Vincent Spadea,United States,USA,false,52.03%
81,Mikael Tillstrom,Sweden,SWE,false,52.03%
82,Franco Squillari,Argentina,ARG,false,52.02%
83,Tomas Berdych,Czech Republic,CZE,false,52.02%
84,Jaime Yzaga,Peru,PER,false,52.01%
85,Brian Vahaly,United States,USA,false,52.01%
86,Magnus Gustafsson,Sweden,SWE,false,51.98%
87,Todd Martin,United States,USA,false,51.98%
88,Tobias Kamke,Germany,GER,false,51.92%
89,Arnaud Boetsch,France,FRA,false,51.92%
90,Andrea Gaudenzi,Italy,ITA,false,51.89%
91,Alexander Volkov,Russian Federation,RUS,false,51.88%
92,Jimmy Arias,United States,USA,false,51.84%
93,Chris Woodruff,United States,USA,false,51.81%
94,Mats Wilander,Sweden,SWE,false,51.80%
95,Filip Krajinovic,Serbia,SRB,true,51.78%
96,Miomir Kecmanovic,Serbia,SRB,true,51.77%
97,Arnaud Clement,France,FRA,false,51.75%
98,Frederic Fontang,France,FRA,false,51.74%
99,Pablo Andujar,Spain,ESP,true,51.70%
100,Juan Martin Del Potro,Argentina,ARG,true,51.69%
101,Jarkko Nieminen,Finland,FIN,false,51.67%
102,Albert Portas,Spain,ESP,false,51.67%
103,Fabrice Santoro,France,FRA,false,51.61%
104,Jonas Svensson,Sweden,SWE,false,51.59%
105,Francisco Roig,Spain,ESP,false,51.58%
106,Albert Costa,Spain,ESP,false,51.56%
107,Mikhail Kukushkin,Kazakhstan,KAZ,true,51.56%
108,Jeff Tarango,United States,USA,false,51.55%
109,Karol Kucera,Slovakia,SVK,false,51.53%
110,David Sanchez,Spain,ESP,false,51.53%
111,Wayne Odesnik,United States,USA,false,51.50%
112,Alex De Minaur,Australia,AUS,true,51.49%
113,Markus Hipfl,Austria,AUT,false,51.48%
114,Hicham Arazi,Morocco,MAR,false,51.45%
115,Christophe Rochus,Belgium,BEL,false,51.44%
116,Mark Woodforde,Australia,AUS,false,51.44%
117,Juan Antonio Marin,Costa Rica,CRC,false,51.41%
118,Ilya Ivashka,Belarus,BLR,true,51.38%
119,Boris Becker,Germany,GER,false,51.37%
120,Sebastien Grosjean,France,FRA,false,51.35%
121,Lars Jonsson,Sweden,SWE,false,51.34%
122,Magnus Norman,Sweden,SWE,false,51.34%
123,Amos Mansdorf,Israel,ISR,false,51.33%
124,Marcelo Filippini,Uruguay,URU,false,51.33%
125,Flavio Saretta,Brazil,BRA,false,51.32%
126,Marcos Ondruska,South Africa,RSA,false,51.31%
127,Thomas Fabbiano,Italy,ITA,true,51.29%
128,Sjeng Schalken,Netherlands,NED,false,51.24%
129,Brett Steven,New Zealand,NZL,false,51.22%
130,Mikhail Youzhny,Russian Federation,RUS,false,51.20%
131,Guido Pella,Argentina,ARG,true,51.16%
132,Sebastien Lareau,Canada,CAN,false,51.14%
133,Renzo Furlan,Italy,ITA,false,51.11%
134,Fernando Vicente,Spain,ESP,false,51.09%
