rank,name,country_name,country_id,active,value
1,Guillermo Coria,Argentina,ARG,false,43.52%
2,Bart Wuyts,Belgium,BEL,false,42.70%
3,Rafael Nadal,Spain,ESP,true,42.40%
4,Franco Davin,Argentina,ARG,false,42.31%
5,Alberto Berasategui,Spain,ESP,false,42.25%
6,Novak Djokovic,Serbia,SRB,true,42.20%
7,Michael Chang,United States,USA,false,42.11%
8,Diego Sebastian Schwartzman,Argentina,ARG,true,41.98%
9,Guillermo Perez Roldan,Argentina,ARG,false,41.89%
10,David Ferrer,Spain,ESP,false,41.87%
11,Gilbert Schaller,Austria,AUT,false,41.84%
12,Thomas Muster,Austria,AUT,false,41.84%
13,Francisco Roig,Spain,ESP,false,41.84%
14,Jordi Arrese,Spain,ESP,false,41.82%
15,Slava Dosedel,Czech Republic,CZE,false,41.77%
16,Andy Murray,United Kingdom,GBR,true,41.77%
17,Andre Agassi,United States,USA,false,41.67%
18,Carlos Costa,Spain,ESP,false,41.63%
19,Sergi Bruguera,Spain,ESP,false,41.62%
20,Goran Prpic,Croatia,CRO,false,41.53%
21,Frederic Fontang,France,FRA,false,41.51%
22,Jaime Oncins,Brazil,BRA,false,41.51%
23,Magnus Gustafsson,Sweden,SWE,false,41.44%
24,Andrei Chesnokov,Russian Federation,RUS,false,41.31%
25,Tomas Carbonell,Spain,ESP,false,41.31%
26,Stefan Edberg,Sweden,SWE,false,41.25%
27,David Nalbandian,Argentina,ARG,false,41.24%
28,Horacio De La Pena,Argentina,ARG,false,41.22%
29,Nikolay Davydenko,Russian Federation,RUS,false,41.14%
30,Lleyton Hewitt,Australia,AUS,false,41.12%
31,Filippo Volandri,Italy,ITA,false,40.90%
32,Gaston Gaudio,Argentina,ARG,false,40.87%
33,Francisco Clavet,Spain,ESP,false,40.87%
34,Dimitri Poliakov,Ukraine,UKR,false,40.82%
35,Juan Monaco,Argentina,ARG,false,40.74%
36,Karol Kucera,Slovakia,SVK,false,40.66%
37,Jimmy Connors,United States,USA,false,40.58%
38,Andrei Medvedev,Ukraine,UKR,false,40.55%
39,Petr Korda,Czech Republic,CZE,false,40.55%
40,Marcelo Rios,Chile,CHI,false,40.55%
41,Alex Corretja,Spain,ESP,false,40.51%
42,Grant Stafford,South Africa,RSA,false,40.47%
43,Christian Bergstrom,Sweden,SWE,false,40.46%
44,Jaime Yzaga,Peru,PER,false,40.39%
45,Flavio Saretta,Brazil,BRA,false,40.36%
46,Guillermo Canas,Argentina,ARG,false,40.34%
47,Jonas Svensson,Sweden,SWE,false,40.32%
48,Marcos Ondruska,South Africa,RSA,false,40.23%
49,Marcelo Filippini,Uruguay,URU,false,40.16%
50,Aaron Krickstein,United States,USA,false,40.15%
51,Ivan Lendl,United States,USA,false,40.14%
52,David Sanchez,Spain,ESP,false,40.11%
53,Felix Mantilla,Spain,ESP,false,40.10%
54,Juan Ignacio Chela,Argentina,ARG,false,40.04%
55,Christian Ruud,Norway,NOR,false,40.01%
56,Jiri Novak,Czech Republic,CZE,false,39.95%
57,Andrea Gaudenzi,Italy,ITA,false,39.95%
58,Michal Tabara,Czech Republic,CZE,false,39.94%
59,Andrei Cherkasov,Russian Federation,RUS,false,39.88%
60,David Goffin,Belgium,BEL,true,39.84%
61,Fabrice Santoro,France,FRA,false,39.84%
62,Gilles Simon,France,FRA,true,39.77%
63,Franco Squillari,Argentina,ARG,false,39.76%
64,Jonas Bjorkman,Sweden,SWE,false,39.74%
65,Yevgeny Kafelnikov,Russian Federation,RUS,false,39.73%
66,Brad Gilbert,United States,USA,false,39.71%
67,Patrick McEnroe,United States,USA,false,39.70%
68,Jimmy Arias,United States,USA,false,39.70%
69,Renzo Furlan,Italy,ITA,false,39.63%
70,Todd Woodbridge,Australia,AUS,false,39.63%
71,Paul Goldstein,United States,USA,false,39.60%
72,Roberto Bautista Agut,Spain,ESP,true,39.59%
73,Roger Federer,Switzerland,SUI,true,39.57%
74,Mauricio Hadad,Colombia,COL,false,39.54%
75,Hernan Gumy,Argentina,ARG,false,39.52%
76,Kei Nishikori,Japan,JPN,true,39.49%
77,Juan Antonio Marin,Costa Rica,CRC,false,39.45%
78,Thierry Champion,France,FRA,false,39.45%
79,Oliver Gross,Germany,GER,false,39.44%
80,Byron Black,Zimbabwe,ZIM,false,39.44%
81,Jason Stoltenberg,Australia,AUS,false,39.43%
82,Horst Skoff,Austria,AUT,false,39.40%
83,John McEnroe,United States,USA,false,39.40%
84,Flavio Cipolla,Italy,ITA,false,39.38%
85,Markus Hipfl,Austria,AUT,false,39.37%
86,Bohdan Ulihrach,Czech Republic,CZE,false,39.37%
87,Albert Costa,Spain,ESP,false,39.37%
88,Arnaud Boetsch,France,FRA,false,39.35%
89,Arnaud Di Pasquale,France,FRA,false,39.35%
90,Damir Dzumhur,Bosnia and Herzegovina,BIH,true,39.34%
91,Dominik Hrbaty,Slovakia,SVK,false,39.33%
92,Sebastien Grosjean,France,FRA,false,39.31%
93,Fernando Meligeni,Brazil,BRA,false,39.31%
94,Fabio Fognini,Italy,ITA,true,39.30%
95,Jim Courier,United States,USA,false,39.26%
96,Juan Carlos Ferrero,Spain,ESP,false,39.24%
97,Jannik Sinner,Italy,ITA,true,39.23%
98,Anders Jarryd,Sweden,SWE,false,39.21%
99,Tim Henman,United Kingdom,GBR,false,39.18%
100,Gilad Bloom,Israel,ISR,false,39.18%
101,Andrey Rublev,Russian Federation,RUS,true,39.18%
102,Marton Fucsovics,Hungary,HUN,true,39.16%
103,Richey Reneberg,United States,USA,false,39.16%
104,Martin Jaite,Argentina,ARG,false,39.15%
105,Alberto Martin,Spain,ESP,false,39.13%
106,Pablo Andujar,Spain,ESP,true,39.12%
107,Fernando Vicente,Spain,ESP,false,39.10%
108,Thomas Enqvist,Sweden,SWE,false,39.05%
109,Jean Rene Lisnard,Monaco,MON,false,39.03%
110,Rainer Schuettler,Germany,GER,false,39.00%
111,Gabriel Markus,Argentina,ARG,false,38.98%
112,Malivai Washington,United States,USA,false,38.98%
113,Magnus Norman,Sweden,SWE,false,38.97%
114,Nicolas Escude,France,FRA,false,38.97%
115,Luis Herrera,Mexico,MEX,false,38.96%
116,Todd Witsken,United States,USA,false,38.95%
117,Claudio Mezzadri,Switzerland,SUI,false,38.92%
118,Hyeon Chung,"Korea, Republic of",KOR,true,38.89%
119,Lars Jonsson,Sweden,SWE,false,38.89%
120,Mats Wilander,Sweden,SWE,false,38.89%
121,Javier Sanchez,Spain,ESP,false,38.89%
122,Michel Kratochvil,Switzerland,SUI,false,38.87%
123,Carlos Moya,Spain,ESP,false,38.86%
124,Andres Gomez,Ecuador,ECU,false,38.85%
125,Daniil Medvedev,Russian Federation,RUS,true,38.83%
126,Nicolas Kiefer,Germany,GER,false,38.82%
127,Alexander Volkov,Russian Federation,RUS,false,38.80%
128,Jaume Munar,Spain,ESP,true,38.74%
129,Mark Woodforde,Australia,AUS,false,38.73%
130,Tommy Robredo,Spain,ESP,true,38.72%
131,Steve Bryan,United States,USA,false,38.71%
132,Vincent Spadea,United States,USA,false,38.71%
133,Chris Wilkinson,United Kingdom,GBR,false,38.69%
134,Wayne Black,Zimbabwe,ZIM,false,38.67%
135,Carlos Berlocq,Argentina,ARG,false,38.63%
136,Mark Koevermans,Netherlands,NED,false,38.63%
137,Mikhail Youzhny,Russian Federation,RUS,false,38.61%
138,Jeff Tarango,United States,USA,false,38.60%
139,Albert Portas,Spain,ESP,false,38.60%
140,Juan Martin Del Potro,Argentina,ARG,true,38.58%
141,Sjeng Schalken,Netherlands,NED,false,38.56%
142,Wayne Ferreira,South Africa,RSA,false,38.56%
143,Karel Novacek,Czech Republic,CZE,false,38.56%
144,Mariano Zabaleta,Argentina,ARG,false,38.53%
145,Gael Monfils,France,FRA,true,38.53%
146,Olivier Mutis,France,FRA,false,38.53%
147,Christo Van Rensburg,South Africa,RSA,false,38.48%
148,Amos Mansdorf,Israel,ISR,false,38.47%
149,Roberto Carballes Baena,Spain,ESP,true,38.45%
150,Mikael Tillstrom,Sweden,SWE,false,38.44%
151,Brett Steven,New Zealand,NZL,false,38.43%
152,James Blake,United States,USA,false,38.41%
153,Stefan Koubek,Austria,AUT,false,38.40%
154,Emilio Sanchez,Spain,ESP,false,38.39%
155,Andre Sa,Brazil,BRA,false,38.39%
156,Bernd Karbacher,Germany,GER,false,38.39%
157,Alex De Minaur,Australia,AUS,true,38.38%
158,Derrick Rostagno,United States,USA,false,38.36%
159,Tobias Kamke,Germany,GER,false,38.35%
160,Chris Woodruff,United States,USA,false,38.34%
161,Christian Garin,Chile,CHI,true,38.33%
162,Michael Joyce,United States,USA,false,38.33%
163,Alexander Zverev,Germany,GER,true,38.33%
164,Dudi Sela,Israel,ISR,false,38.32%
165,Henri Leconte,France,FRA,false,38.31%
166,Jordi Burillo,Spain,ESP,false,38.30%
167,Nicolas Lapentti,Ecuador,ECU,false,38.30%
168,Andrei Pavel,Romania,ROU,false,38.29%
169,Agustin Calleri,Argentina,ARG,false,38.28%
170,Cristiano Caratti,Italy,ITA,false,38.28%
171,Xavier Malisse,Belgium,BEL,false,38.26%
172,Jarkko Nieminen,Finland,FIN,false,38.25%
173,Richard Gasquet,France,FRA,true,38.23%
174,Michael Stich,Germany,GER,false,38.22%
175,Cedric Pioline,France,FRA,false,38.22%
176,Hicham Arazi,Morocco,MAR,false,38.22%
177,Mark Knowles,Bahamas,BAH,false,38.21%
178,David Nainkin,South Africa,RSA,false,38.20%
179,Doug Flach,United States,USA,false,38.19%
180,Yoshihito Nishioka,Japan,JPN,true,38.19%
181,Pablo Carreno Busta,Spain,ESP,true,38.18%
182,Cedrik Marcel Stebe,Germany,GER,true,38.16%
183,Gianluca Pozzi,Italy,ITA,false,38.15%
184,Fernando Verdasco,Spain,ESP,true,38.14%
185,Ronald Agenor,United States,USA,false,38.11%
186,Roberto Carretero,Spain,ESP,false,38.11%
187,Boris Becker,Germany,GER,false,38.11%
188,Sargis Sargsian,Armenia,ARM,false,38.10%
189,Tomas Berdych,Czech Republic,CZE,false,38.09%
190,Arnaud Clement,France,FRA,false,38.08%
191,Alberto Mancini,Argentina,ARG,false,38.08%
192,Maximo Gonzalez,Argentina,ARG,false,38.07%
193,Gustavo Kuerten,Brazil,BRA,false,38.05%
194,Benoit Paire,France,FRA,true,38.03%
195,Filip Krajinovic,Serbia,SRB,true,38.03%
196,Carl Uwe Steeb,Germany,GER,false,38.03%
197,Pete Sampras,United States,USA,false,38.02%
198,Julian Alonso,Spain,ESP,false,38.01%
199,Karim Alami,Morocco,MAR,false,38.00%
200,Ilya Ivashka,Belarus,BLR,true,38.00%
201,Olivier Rochus,Belgium,BEL,false,37.99%
202,Blaz Kavcic,Slovenia,SLO,false,37.98%
203,Christophe Rochus,Belgium,BEL,false,37.98%
204,Guillermo Garcia Lopez,Spain,ESP,false,37.96%
205,Marcos Aurelio Gorriz,Spain,ESP,false,37.95%
206,Paul Haarhuis,Netherlands,NED,false,37.92%
207,Cecil Mamiit,Philippines,PHI,false,37.89%
208,Todd Martin,United States,USA,false,37.83%
209,Jacobo Diaz,Spain,ESP,false,37.83%
210,Robin Soderling,Sweden,SWE,false,37.80%
211,Dominic Thiem,Austria,AUT,true,37.80%
212,Marin Cilic,Croatia,CRO,true,37.79%
213,David Wheaton,United States,USA,false,37.77%
214,Henrik Holm,Sweden,SWE,false,37.75%
215,Viktor Troicki,Serbia,SRB,true,37.74%
216,Jan Hernych,Czech Republic,CZE,false,37.72%
217,Frederik Fetterlein,Denmark,DEN,false,37.72%
218,Corentin Moutet,France,FRA,true,37.72%
219,Javier Frana,Argentina,ARG,false,37.71%
220,Andreas Seppi,Italy,ITA,true,37.68%
221,Santiago Ventura,Spain,ESP,false,37.68%
222,Andrei Stoliarov,Russian Federation,RUS,false,37.67%
223,Cameron Norrie,United Kingdom,GBR,true,37.64%
224,Marcos Baghdatis,Cyprus,CYP,false,37.64%
225,Tomas Nydahl,Sweden,SWE,false,37.63%
226,Davide Sanguinetti,Italy,ITA,false,37.61%
227,Patrick Rafter,Australia,AUS,false,37.60%
228,Sergio Roitman,Argentina,ARG,false,37.59%
