rank,name,country_name,country_id,active,value
1,Ivo Karlovic,Croatia,CRO,true,71.01%
2,John Isner,United States,USA,true,70.92%
3,Joachim Johansson,Sweden,SWE,false,70.16%
4,Milos Raonic,Canada,CAN,true,69.68%
5,Reilly Opelka,United States,USA,true,68.14%
6,Pete Sampras,United States,USA,false,67.92%
7,Chris Guccione,Australia,AUS,false,67.78%
8,Andy Roddick,United States,USA,false,67.60%
9,Wayne Arthurs,Australia,AUS,false,67.47%
10,Roger Federer,Switzerland,SUI,true,67.30%
11,Matteo Berrettini,Italy,ITA,true,67.07%
12,Jo Wilfried Tsonga,France,FRA,true,66.84%
13,Gilles Muller,Luxembourg,LUX,false,66.53%
14,Rafael Nadal,Spain,ESP,true,66.42%
15,Kenny De Schepper,France,FRA,false,66.23%
16,Greg Rusedski,United Kingdom,GBR,false,66.18%
17,Goran Ivanisevic,Croatia,CRO,false,66.13%
18,Denis Shapovalov,Canada,CAN,true,66.09%
19,Michael Stich,Germany,GER,false,66.07%
20,Nick Kyrgios,Australia,AUS,true,66.06%
21,Kevin Anderson,South Africa,RSA,true,65.90%
22,Richard Krajicek,Netherlands,NED,false,65.73%
23,Boris Becker,Germany,GER,false,65.71%
24,Feliciano Lopez,Spain,ESP,true,65.64%
25,Grant Connell,Canada,CAN,false,65.49%
26,Novak Djokovic,Serbia,SRB,true,65.33%
27,Juan Balcells,Spain,ESP,false,65.08%
28,Ugo Humbert,France,FRA,true,65.02%
29,Thanasi Kokkinakis,Australia,AUS,true,65.00%
30,Ivan Ljubicic,Croatia,CRO,false,64.99%
31,Alexei Popyrin,Australia,AUS,true,64.80%
32,Amer Delic,Bosnia and Herzegovina,BIH,false,64.77%
33,Andre Agassi,United States,USA,false,64.74%
34,Jan Siemerink,Netherlands,NED,false,64.70%
35,Steve Johnson,United States,USA,true,64.69%
36,Todd Martin,United States,USA,false,64.40%
37,Mark Philippoussis,Australia,AUS,false,64.33%
38,Patrick Rafter,Australia,AUS,false,64.27%
39,Marin Cilic,Croatia,CRO,true,64.24%
40,Andreas Vinciguerra,Sweden,SWE,false,64.15%
41,Stan Wawrinka,Switzerland,SUI,true,64.11%
42,Kenneth Carlsen,Denmark,DEN,false,64.02%
43,Max Mirnyi,Belarus,BLR,false,64.00%
44,Stefanos Tsitsipas,Greece,GRE,true,63.94%
45,Guy Forget,France,FRA,false,63.94%
