rank,name,country_name,country_id,active,value
1,Gilbert Schaller,Austria,AUT,false,75.73%
2,Alberto Berasategui,Spain,ESP,false,73.68%
3,Potito Starace,Italy,ITA,false,72.39%
4,Jordi Arrese,Spain,ESP,false,72.24%
5,Thierry Champion,France,FRA,false,72.03%
6,Goran Prpic,Croatia,CRO,false,71.49%
7,Juan Balcells,Spain,ESP,false,71.37%
8,Bart Wuyts,Belgium,BEL,false,70.10%
9,Franco Davin,Argentina,ARG,false,69.90%
10,Horacio De La Pena,Argentina,ARG,false,69.34%
11,John Isner,United States,USA,true,69.14%
12,Roberto Carretero,Spain,ESP,false,69.12%
13,Jimmy Arias,United States,USA,false,69.06%
14,Victor Hanescu,Romania,ROU,false,69.04%
15,Alex Bogomolov Jr,Russian Federation,RUS,false,68.94%
16,Wesley Moodie,South Africa,RSA,false,68.94%
17,Flavio Cipolla,Italy,ITA,false,68.93%
18,Roberto Azar,Argentina,ARG,false,68.71%
19,Filippo Volandri,Italy,ITA,false,68.48%
20,Corentin Moutet,France,FRA,true,68.47%
21,Rafael Nadal,Spain,ESP,true,68.21%
22,Guillermo Perez Roldan,Argentina,ARG,false,68.20%
23,Juan Monaco,Argentina,ARG,false,67.81%
24,Martin Vassallo Arguello,Argentina,ARG,false,67.59%
25,Luis Horna,Peru,PER,false,67.36%
26,Michiel Schapers,Netherlands,NED,false,67.23%
27,Tomas Carbonell,Spain,ESP,false,67.16%
28,Fernando Verdasco,Spain,ESP,true,67.15%
29,Nikolay Davydenko,Russian Federation,RUS,false,66.96%
30,Kenny De Schepper,France,FRA,false,66.81%
31,Albert Costa,Spain,ESP,false,66.81%
32,Robbie Weiss,United States,USA,false,66.57%
33,Dinu Pescariu,Romania,ROU,false,66.50%
34,Simone Bolelli,Italy,ITA,false,66.34%
35,Bernard Tomic,Australia,AUS,true,66.29%
36,Marco Cecchinato,Italy,ITA,true,66.27%
37,Wally Masur,Australia,AUS,false,66.24%
38,Marcelo Filippini,Uruguay,URU,false,66.21%
39,Jacobo Diaz,Spain,ESP,false,66.13%
40,Dusan Lajovic,Serbia,SRB,true,66.04%
41,Roberto Bautista Agut,Spain,ESP,true,65.99%
42,Lars Jonsson,Sweden,SWE,false,65.96%
43,Daniel Brands,Germany,GER,false,65.87%
44,Michael Russell,United States,USA,false,65.84%
45,Jim Grabb,United States,USA,false,65.76%
46,Jan Hernych,Czech Republic,CZE,false,65.72%
47,Tomas Nydahl,Sweden,SWE,false,65.65%
48,Javier Sanchez,Spain,ESP,false,65.62%
49,Casper Ruud,Norway,NOR,true,65.62%
50,Nick Kyrgios,Australia,AUS,true,65.52%
51,Ivo Karlovic,Croatia,CRO,true,65.51%
52,Jarkko Nieminen,Finland,FIN,false,65.41%
53,Thomas Fabbiano,Italy,ITA,true,65.39%
54,Thiago Monteiro,Brazil,BRA,true,65.24%
55,Denis Istomin,Uzbekistan,UZB,true,65.22%
56,Mats Wilander,Sweden,SWE,false,65.21%
57,Christian Bergstrom,Sweden,SWE,false,65.19%
58,Cameron Norrie,United Kingdom,GBR,true,65.18%
59,Jiri Novak,Czech Republic,CZE,false,65.16%
60,Brett Steven,New Zealand,NZL,false,65.14%
61,Oscar Hernandez,Spain,ESP,false,65.13%
62,Jimmy Connors,United States,USA,false,65.11%
63,Magnus Gustafsson,Sweden,SWE,false,65.10%
64,Mariano Puerta,Argentina,ARG,false,65.06%
65,Yoshihito Nishioka,Japan,JPN,true,65.04%
66,Guido Pella,Argentina,ARG,true,64.98%
67,George Bastl,Switzerland,SUI,false,64.94%
68,Novak Djokovic,Serbia,SRB,true,64.90%
69,Edouard Roger Vasselin,France,FRA,false,64.84%
70,Slava Dosedel,Czech Republic,CZE,false,64.84%
71,Pablo Carreno Busta,Spain,ESP,true,64.82%
72,Andy Roddick,United States,USA,false,64.81%
73,Tommy Robredo,Spain,ESP,true,64.80%
74,Victor Estrella,Dominican Republic,DOM,false,64.79%
75,Thierry Ascione,France,FRA,false,64.79%
76,Frederic Fontang,France,FRA,false,64.75%
77,Emilio Sanchez,Spain,ESP,false,64.72%
78,Jiri Vesely,Czech Republic,CZE,true,64.68%
79,Nuno Marques,Portugal,POR,false,64.64%
80,Egor Gerasimov,Belarus,BLR,true,64.62%
81,Neil Borwick,Australia,AUS,false,64.60%
82,Andrei Pavel,Romania,ROU,false,64.58%
83,Kevin Anderson,South Africa,RSA,true,64.58%
84,Jonas Svensson,Sweden,SWE,false,64.57%
85,Brian Vahaly,United States,USA,false,64.55%
86,Maximo Gonzalez,Argentina,ARG,false,64.49%
87,Radu Albot,"Moldova, Republic of",MDA,true,64.46%
88,Mischa Zverev,Germany,GER,true,64.45%
89,Christian Vinck,Germany,GER,false,64.38%
90,Chuck Adams,United States,USA,false,64.35%
91,Julien Benneteau,France,FRA,false,64.31%
92,Carlos Berlocq,Argentina,ARG,false,64.27%
