rank,name,country_name,country_id,active,value
1,Ivo Karlovic,Croatia,CRO,true,82.71%
2,Goran Ivanisevic,Croatia,CRO,false,82.45%
3,Milos Raonic,Canada,CAN,true,81.45%
4,Richard Krajicek,Netherlands,NED,false,81.38%
5,Wayne Arthurs,Australia,AUS,false,81.22%
6,Pete Sampras,United States,USA,false,80.92%
7,Mark Philippoussis,Australia,AUS,false,80.04%
8,Greg Rusedski,United Kingdom,GBR,false,79.81%
9,Reilly Opelka,United States,USA,true,79.79%
10,Boris Becker,Germany,GER,false,79.39%
11,Joachim Johansson,Sweden,SWE,false,79.37%
12,Andy Roddick,United States,USA,false,79.36%
13,Sam Querrey,United States,USA,true,78.94%
14,John Isner,United States,USA,true,78.63%
15,Marc Kevin Goellner,Germany,GER,false,78.59%
16,Marc Rosset,Switzerland,SUI,false,78.54%
17,Chris Guccione,Australia,AUS,false,78.52%
18,Samuel Groth,Australia,AUS,false,78.23%
19,Michael Tebbutt,Australia,AUS,false,78.11%
20,Gilles Muller,Luxembourg,LUX,false,78.02%
21,Matteo Berrettini,Italy,ITA,true,77.89%
22,Michael Stich,Germany,GER,false,77.84%
23,Guy Forget,France,FRA,false,77.82%
24,Jo Wilfried Tsonga,France,FRA,true,77.69%
25,Henrik Holm,Sweden,SWE,false,77.56%
26,Ivan Ljubicic,Croatia,CRO,false,77.52%
27,Nick Kyrgios,Australia,AUS,true,77.52%
28,Roger Federer,Switzerland,SUI,true,77.42%
29,Mardy Fish,United States,USA,false,77.27%
30,Alex Radulescu,Germany,GER,false,77.04%
31,Tomas Berdych,Czech Republic,CZE,false,76.95%
32,Kevin Anderson,South Africa,RSA,true,76.90%
33,Marin Cilic,Croatia,CRO,true,76.85%
34,Jan Michael Gambill,United States,USA,false,76.57%
35,Feliciano Lopez,Spain,ESP,true,76.35%
36,Gustavo Kuerten,Brazil,BRA,false,76.28%
37,Jan Lennard Struff,Germany,GER,true,76.24%
38,Martin Verkerk,Netherlands,NED,false,76.20%
39,Thomas Johansson,Sweden,SWE,false,76.20%
40,Jonathan Stark,United States,USA,false,76.16%
41,Kevin Curren,United States,USA,false,76.12%
42,Vasek Pospisil,Canada,CAN,true,75.99%
43,Max Mirnyi,Belarus,BLR,false,75.99%
44,Stefanos Tsitsipas,Greece,GRE,true,75.98%
45,Ivan Lendl,United States,USA,false,75.96%
46,Denis Shapovalov,Canada,CAN,true,75.92%
47,Gregory Carraz,France,FRA,false,75.81%
48,Robin Soderling,Sweden,SWE,false,75.73%
49,Thomas Enqvist,Sweden,SWE,false,75.70%
50,Patrick Rafter,Australia,AUS,false,75.64%
51,Marius Copil,Romania,ROU,false,75.61%
52,Todd Martin,United States,USA,false,75.55%
53,Mario Ancic,Croatia,CRO,false,75.54%
54,John McEnroe,United States,USA,false,75.48%
55,Marat Safin,Russian Federation,RUS,false,75.43%
56,Alexander Bublik,Kazakhstan,KAZ,true,75.42%
57,Jamie Morgan,Australia,AUS,false,75.38%
58,Ernests Gulbis,Latvia,LAT,true,75.24%
59,Daniel Nestor,Canada,CAN,false,75.21%
60,Taylor Dent,United States,USA,false,75.19%
61,Laurence Tieleman,Italy,ITA,false,75.14%
62,Martin Damm,Czech Republic,CZE,false,75.11%
63,Ugo Humbert,France,FRA,true,75.04%
64,Kenneth Carlsen,Denmark,DEN,false,74.96%
65,Steve Johnson,United States,USA,true,74.95%
66,Bryan Shelton,United States,USA,false,74.89%
67,Jan Siemerink,Netherlands,NED,false,74.88%
68,Nicolas Kiefer,Germany,GER,false,74.84%
69,Daniil Medvedev,Russian Federation,RUS,true,74.83%
70,Nicolas Almagro,Spain,ESP,false,74.83%
71,Marcos Baghdatis,Cyprus,CYP,false,74.82%
72,Andrei Olhovskiy,Russian Federation,RUS,false,74.79%
73,Thanasi Kokkinakis,Australia,AUS,true,74.76%
74,Taylor Harry Fritz,United States,USA,true,74.73%
75,Jerzy Janowicz,Poland,POL,false,74.73%
76,David Prinosil,Germany,GER,false,74.64%
77,Peter Gojowczyk,Germany,GER,true,74.56%
78,Alexandr Dolgopolov,Ukraine,UKR,false,74.56%
79,Agustin Calleri,Argentina,ARG,false,74.53%
80,Benjamin Becker,Germany,GER,false,74.53%
81,Wayne Ferreira,South Africa,RSA,false,74.52%
82,Juan Martin Del Potro,Argentina,ARG,true,74.50%
83,Tim Henman,United Kingdom,GBR,false,74.49%
84,Andy Murray,United Kingdom,GBR,true,74.44%
85,Grigor Dimitrov,Bulgaria,BUL,true,74.41%
86,Gary Muller,South Africa,RSA,false,74.36%
87,Benoit Paire,France,FRA,true,74.35%
88,Fernando Gonzalez,Chile,CHI,false,74.29%
89,Tommy Haas,Germany,GER,false,74.29%
90,Felix Auger Aliassime,Canada,CAN,true,74.22%
91,Jim Courier,United States,USA,false,74.21%
92,Peter Wessels,Netherlands,NED,false,74.21%
93,Jens Knippschild,Germany,GER,false,74.21%
94,Brian Macphie,United States,USA,false,74.15%
95,Aljaz Bedene,Slovenia,SLO,true,74.11%
96,Dominic Thiem,Austria,AUT,true,74.09%
97,Shuzo Matsuoka,Japan,JPN,false,74.09%
98,Daniele Bracciali,Italy,ITA,false,74.09%
99,Sandon Stolle,Australia,AUS,false,74.08%
100,Karsten Braasch,Germany,GER,false,74.08%
101,Andrey Rublev,Russian Federation,RUS,true,74.07%
102,Richard Fromberg,Australia,AUS,false,74.06%
103,Jeremy Chardy,France,FRA,true,74.04%
104,Philipp Petzschner,Germany,GER,false,74.03%
105,Henri Leconte,France,FRA,false,74.03%
106,Daniel Vacek,Czech Republic,CZE,false,74.00%
107,Robert Kendrick,United States,USA,false,73.97%
108,Jakob Hlasek,Switzerland,SUI,false,73.95%
109,Alexander Mronz,Germany,GER,false,73.94%
110,Alexander Zverev,Germany,GER,true,73.94%
111,Jack Sock,United States,USA,true,73.88%
112,Jared Donaldson,United States,USA,false,73.87%
113,Julien Boutter,France,FRA,false,73.82%
114,Dick Norman,Belgium,BEL,false,73.77%
115,Pierre Hugues Herbert,France,FRA,true,73.74%
116,Lleyton Hewitt,Australia,AUS,false,73.70%
117,Stan Wawrinka,Switzerland,SUI,true,73.69%
118,Joern Renzenbrink,Germany,GER,false,73.68%
119,Karen Khachanov,Russian Federation,RUS,true,73.67%
120,Patrik Kuhnen,Germany,GER,false,73.66%
121,Dustin Brown,Germany,GER,true,73.66%
122,Alexei Popyrin,Australia,AUS,true,73.65%
123,David Wheaton,United States,USA,false,73.63%
124,Hendrik Dreekmann,Germany,GER,false,73.62%
125,Janko Tipsarevic,Serbia,SRB,false,73.61%
126,Novak Djokovic,Serbia,SRB,true,73.60%
127,Paradorn Srichaphan,Thailand,THA,false,73.60%
128,Wesley Moodie,South Africa,RSA,false,73.54%
129,Omar Camporese,Italy,ITA,false,73.52%
130,Cedric Pioline,France,FRA,false,73.51%
131,Michael Llodra,France,FRA,false,73.48%
132,Leonardo Mayer,Argentina,ARG,true,73.47%
133,Alexander Waske,Germany,GER,false,73.46%
134,Karel Novacek,Czech Republic,CZE,false,73.38%
135,Jacco Eltingh,Netherlands,NED,false,73.38%
136,Tennys Sandgren,United States,USA,true,73.37%
137,Lucas Pouille,France,FRA,true,73.35%
138,Stefano Travaglia,Italy,ITA,true,73.35%
139,Cyril Saulnier,France,FRA,false,73.32%
140,Yevgeny Kafelnikov,Russian Federation,RUS,false,73.32%
141,Nicolas Mahut,France,FRA,true,73.30%
142,Lloyd George Muirhead Harris,South Africa,RSA,true,73.27%
143,Igor Sijsling,Netherlands,NED,false,73.21%
144,Nicolas Pereira,"Venezuela, Bolivarian Republic of",VEN,false,73.10%
145,Xavier Malisse,Belgium,BEL,false,73.09%
146,Stefan Edberg,Sweden,SWE,false,73.05%
147,Richard Gasquet,France,FRA,true,73.05%
148,Jason Stoltenberg,Australia,AUS,false,73.01%
149,Kyle Edmund,United Kingdom,GBR,true,72.99%
150,Javier Frana,Argentina,ARG,false,72.97%
151,Rajeev Ram,United States,USA,false,72.94%
152,Diego Nargiso,Italy,ITA,false,72.94%
153,Younes El Aynaoui,Morocco,MAR,false,72.93%
154,Andre Agassi,United States,USA,false,72.93%
155,Jeff Morrison,United States,USA,false,72.91%
156,Ivan Navarro,Spain,ESP,false,72.89%
157,Magnus Larsson,Sweden,SWE,false,72.88%
158,Lorenzo Sonego,Italy,ITA,true,72.86%
159,Raemon Sluiter,Netherlands,NED,false,72.83%
160,Neville Godwin,South Africa,RSA,false,72.80%
161,Gael Monfils,France,FRA,true,72.78%
162,Radek Stepanek,Czech Republic,CZE,false,72.76%
163,Nicolas Escude,France,FRA,false,72.76%
164,Dmitry Tursunov,Russian Federation,RUS,false,72.74%
165,Frank Dancevic,Canada,CAN,false,72.71%
166,James Blake,United States,USA,false,72.71%
167,Guillaume Raoux,France,FRA,false,72.70%
168,Daniel Brands,Germany,GER,false,72.70%
169,Hubert Hurkacz,Poland,POL,true,72.61%
170,Thiemo De Bakker,Netherlands,NED,false,72.51%
171,Ivan Dodig,Croatia,CRO,false,72.49%
172,Scott Draper,Australia,AUS,false,72.46%
173,Justin Gimelstob,United States,USA,false,72.44%
174,Viktor Troicki,Serbia,SRB,true,72.41%
175,Egor Gerasimov,Belarus,BLR,true,72.39%
176,Marc Gicquel,France,FRA,false,72.38%
177,James Duckworth,Australia,AUS,true,72.37%
178,Nicolas Jarry,Chile,CHI,true,72.36%
179,Jim Grabb,United States,USA,false,72.34%
180,Amer Delic,Bosnia and Herzegovina,BIH,false,72.32%
181,Jose Acasuso,Argentina,ARG,false,72.28%
182,Brad Gilbert,United States,USA,false,72.26%
183,Lukas Rosol,Czech Republic,CZE,false,72.23%
184,Markus Zoecke,Germany,GER,false,72.20%
185,Rafael Nadal,Spain,ESP,true,72.15%
186,Nicklas Kulti,Sweden,SWE,false,72.13%
187,Grega Zemlja,Slovenia,SLO,false,72.12%
188,Philipp Kohlschreiber,Germany,GER,true,72.11%
189,Sebastien Grosjean,France,FRA,false,72.11%
190,Antony Dupuis,France,FRA,false,72.09%
191,Borna Coric,Croatia,CRO,true,72.05%
192,Malivai Washington,United States,USA,false,72.01%
193,Jiri Vesely,Czech Republic,CZE,true,71.98%
194,Karol Beck,Slovakia,SVK,false,71.92%
195,Anders Jarryd,Sweden,SWE,false,71.88%
196,Andreas Haider Maurer,Austria,AUT,false,71.88%
197,Robin Haase,Netherlands,NED,true,71.87%
198,Carlos Moya,Spain,ESP,false,71.86%
199,Magnus Norman,Sweden,SWE,false,71.84%
200,Paul Henri Mathieu,France,FRA,false,71.83%
201,Chris Woodruff,United States,USA,false,71.82%
202,Ryan Harrison,United States,USA,true,71.81%
203,Pablo Cuevas,Uruguay,URU,true,71.79%
204,Alexander Volkov,Russian Federation,RUS,false,71.78%
205,Jordi Burillo,Spain,ESP,false,71.72%
206,Matthias Bachinger,Germany,GER,true,71.71%
207,Petr Korda,Czech Republic,CZE,false,71.71%
208,David Goffin,Belgium,BEL,true,71.68%
209,Pat Cash,Australia,AUS,false,71.65%
210,Ilya Ivashka,Belarus,BLR,true,71.65%
211,Sergiy Stakhovsky,Ukraine,UKR,true,71.59%
212,Kenny De Schepper,France,FRA,false,71.55%
213,Michael Chang,United States,USA,false,71.55%
