rank,name,country_name,country_id,active,value
1,Rafael Nadal,Spain,ESP,true,57.43%
2,Roger Federer,Switzerland,SUI,true,57.02%
3,Andy Roddick,United States,USA,false,56.14%
4,John Isner,United States,USA,true,56.10%
5,Novak Djokovic,Serbia,SRB,true,55.41%
6,Milos Raonic,Canada,CAN,true,55.17%
7,Reilly Opelka,United States,USA,true,54.78%
8,Juan Carlos Ferrero,Spain,ESP,false,54.78%
9,Wayne Arthurs,Australia,AUS,false,54.63%
10,Stefanos Tsitsipas,Greece,GRE,true,54.42%
11,Roberto Bautista Agut,Spain,ESP,true,54.00%
12,Andre Agassi,United States,USA,false,53.98%
13,Juan Ignacio Londero,Argentina,ARG,true,53.95%
14,Philipp Kohlschreiber,Germany,GER,true,53.91%
15,Matteo Berrettini,Italy,ITA,true,53.90%
16,Stan Wawrinka,Switzerland,SUI,true,53.78%
17,Thomas Muster,Austria,AUT,false,53.71%
18,Casper Ruud,Norway,NOR,true,53.45%
19,Ivo Karlovic,Croatia,CRO,true,53.30%
20,Maximilian Marterer,Germany,GER,true,53.29%
21,Jim Courier,United States,USA,false,53.29%
22,Dominic Thiem,Austria,AUT,true,53.19%
23,Alex De Minaur,Australia,AUS,true,53.18%
24,Richard Gasquet,France,FRA,true,53.16%
25,Juan Martin Del Potro,Argentina,ARG,true,53.14%
26,Miomir Kecmanovic,Serbia,SRB,true,53.06%
27,Kei Nishikori,Japan,JPN,true,53.06%
28,Yoshihito Nishioka,Japan,JPN,true,53.05%
29,Marcelo Rios,Chile,CHI,false,52.96%
30,Kevin Anderson,South Africa,RSA,true,52.94%
31,Nick Kyrgios,Australia,AUS,true,52.92%
32,Simone Bolelli,Italy,ITA,false,52.92%
33,Jo Wilfried Tsonga,France,FRA,true,52.88%
34,Joachim Johansson,Sweden,SWE,false,52.87%
35,Borna Coric,Croatia,CRO,true,52.85%
36,Wally Masur,Australia,AUS,false,52.80%
37,Jack Sock,United States,USA,true,52.77%
38,Nicolas Almagro,Spain,ESP,false,52.76%
39,Juan Balcells,Spain,ESP,false,52.76%
40,Tommy Paul,United States,USA,true,52.72%
41,Lleyton Hewitt,Australia,AUS,false,52.68%
42,Pete Sampras,United States,USA,false,52.61%
43,Michael Chang,United States,USA,false,52.53%
44,Leonardo Mayer,Argentina,ARG,true,52.53%
45,David Ferrer,Spain,ESP,false,52.52%
46,Marin Cilic,Croatia,CRO,true,52.52%
47,Juan Monaco,Argentina,ARG,false,52.49%
48,Marat Safin,Russian Federation,RUS,false,52.49%
49,Albert Costa,Spain,ESP,false,52.48%
50,Sebastien Grosjean,France,FRA,false,52.47%
51,Michael Stich,Germany,GER,false,52.46%
52,Tomas Berdych,Czech Republic,CZE,false,52.43%
53,Dusan Lajovic,Serbia,SRB,true,52.34%
54,Greg Rusedski,United Kingdom,GBR,false,52.32%
55,Nicolas Jarry,Chile,CHI,true,52.32%
56,John Millman,Australia,AUS,true,52.31%
57,David Nalbandian,Argentina,ARG,false,52.26%
58,Igor Andreev,Russian Federation,RUS,false,52.25%
59,Kyle Edmund,United Kingdom,GBR,true,52.24%
60,Mardy Fish,United States,USA,false,52.23%
61,Alex Corretja,Spain,ESP,false,52.19%
62,Ivan Lendl,United States,USA,false,52.18%
63,Robby Ginepri,United States,USA,false,52.16%
64,Jannik Sinner,Italy,ITA,true,52.15%
65,Denis Shapovalov,Canada,CAN,true,52.15%
66,Steve Johnson,United States,USA,true,52.10%
67,Tommy Haas,Germany,GER,false,52.04%
