rank,name,country_name,country_id,active,value
1,Andy Murray,United Kingdom,GBR,true,2:07
2,Lleyton Hewitt,Australia,AUS,false,2:06
3,John Isner,United States,USA,true,2:05
4,Arnaud Clement,France,FRA,false,2:04
5,Julien Benneteau,France,FRA,false,2:03
6,Kevin Anderson,South Africa,RSA,true,1:59
7,Novak Djokovic,Serbia,SRB,true,1:58
8,Guido Pella,Argentina,ARG,true,1:58
9,Leonardo Mayer,Argentina,ARG,true,1:57
10,Kei Nishikori,Japan,JPN,true,1:57
11,Marat Safin,Russian Federation,RUS,false,1:56
12,Ivan Ljubicic,Croatia,CRO,false,1:56
13,Tim Henman,United Kingdom,GBR,false,1:55
14,Juan Martin Del Potro,Argentina,ARG,true,1:55
15,Carlos Berlocq,Argentina,ARG,false,1:54
16,Martin Klizan,Slovakia,SVK,true,1:54
17,Nicolas Massu,Chile,CHI,false,1:54
18,Stan Wawrinka,Switzerland,SUI,true,1:54
19,Jo Wilfried Tsonga,France,FRA,true,1:53
20,Gilles Simon,France,FRA,true,1:53
21,Albert Ramos,Spain,ESP,true,1:53
22,Guillermo Garcia Lopez,Spain,ESP,false,1:52
23,Marin Cilic,Croatia,CRO,true,1:52
24,David Goffin,Belgium,BEL,true,1:52
25,Nicolas Lapentti,Ecuador,ECU,false,1:51
26,Janko Tipsarevic,Serbia,SRB,false,1:51
27,Jordi Arrese,Spain,ESP,false,1:50
28,Michael Chang,United States,USA,false,1:50
29,Rafael Nadal,Spain,ESP,true,1:50
30,Ivo Karlovic,Croatia,CRO,true,1:49
31,Guillermo Canas,Argentina,ARG,false,1:49
32,Fernando Verdasco,Spain,ESP,true,1:49
33,Viktor Troicki,Serbia,SRB,true,1:48
34,Sebastien Grosjean,France,FRA,false,1:48
35,Thomaz Bellucci,Brazil,BRA,true,1:48
36,Pablo Andujar,Spain,ESP,true,1:48
37,Oscar Hernandez,Spain,ESP,false,1:48
38,Gael Monfils,France,FRA,true,1:48
39,Alexander Zverev,Germany,GER,true,1:48
40,Paolo Lorenzi,Italy,ITA,true,1:48
41,Cedric Pioline,France,FRA,false,1:48
42,Alex Corretja,Spain,ESP,false,1:48
43,Mikhail Youzhny,Russian Federation,RUS,false,1:47
44,Simone Bolelli,Italy,ITA,false,1:47
45,Marcel Granollers,Spain,ESP,true,1:47
46,Andreas Seppi,Italy,ITA,true,1:47
47,Juan Carlos Ferrero,Spain,ESP,false,1:47
48,Richard Gasquet,France,FRA,true,1:47
49,Roberto Bautista Agut,Spain,ESP,true,1:47
50,Jiri Vesely,Czech Republic,CZE,true,1:47
51,Dusan Lajovic,Serbia,SRB,true,1:46
52,Ruben Ramirez Hidalgo,Spain,ESP,false,1:46
53,Fabrice Santoro,France,FRA,false,1:46
54,Federico Delbonis,Argentina,ARG,true,1:46
55,Jim Courier,United States,USA,false,1:46
56,Ernests Gulbis,Latvia,LAT,true,1:46
57,Diego Sebastian Schwartzman,Argentina,ARG,true,1:46
58,Paul Henri Mathieu,France,FRA,false,1:46
59,Grigor Dimitrov,Bulgaria,BUL,true,1:46
60,Guillermo Coria,Argentina,ARG,false,1:46
61,Nicolas Kiefer,Germany,GER,false,1:46
62,Igor Andreev,Russian Federation,RUS,false,1:46
63,David Nalbandian,Argentina,ARG,false,1:46
