rank,name,country_name,country_id,active,value
1,Rafael Nadal,Spain,ESP,true,2:13
2,Tim Henman,United Kingdom,GBR,false,2:09
3,Juan Martin Del Potro,Argentina,ARG,true,2:05
4,Novak Djokovic,Serbia,SRB,true,2:05
5,David Ferrer,Spain,ESP,false,2:02
6,Mark Philippoussis,Australia,AUS,false,2:00
7,Radek Stepanek,Czech Republic,CZE,false,1:58
8,Ivan Ljubicic,Croatia,CRO,false,1:58
9,Paul Henri Mathieu,France,FRA,false,1:58
10,Julien Benneteau,France,FRA,false,1:57
11,Dmitry Tursunov,Russian Federation,RUS,false,1:56
12,Janko Tipsarevic,Serbia,SRB,false,1:56
13,Mikhail Youzhny,Russian Federation,RUS,false,1:55
14,Jurgen Melzer,Austria,AUT,false,1:54
15,Jo Wilfried Tsonga,France,FRA,true,1:54
16,Arnaud Clement,France,FRA,false,1:54
17,Rainer Schuettler,Germany,GER,false,1:53
18,Kevin Anderson,South Africa,RSA,true,1:52
19,Tomas Berdych,Czech Republic,CZE,false,1:52
20,Mario Ancic,Croatia,CRO,false,1:52
21,Thomas Johansson,Sweden,SWE,false,1:51
22,Feliciano Lopez,Spain,ESP,true,1:51
23,Lleyton Hewitt,Australia,AUS,false,1:51
24,Justin Gimelstob,United States,USA,false,1:51
25,Todd Woodbridge,Australia,AUS,false,1:51
26,Nicolas Kiefer,Germany,GER,false,1:50
27,John Isner,United States,USA,true,1:50
28,Jeremy Chardy,France,FRA,true,1:50
29,Fernando Verdasco,Spain,ESP,true,1:50
30,Andy Murray,United Kingdom,GBR,true,1:49
31,Andy Roddick,United States,USA,false,1:49
32,Andre Agassi,United States,USA,false,1:48
33,Sebastien Grosjean,France,FRA,false,1:48
34,Olivier Rochus,Belgium,BEL,false,1:48
35,Jan Siemerink,Netherlands,NED,false,1:47
36,Sjeng Schalken,Netherlands,NED,false,1:47
37,Marin Cilic,Croatia,CRO,true,1:47
38,Kei Nishikori,Japan,JPN,true,1:46
39,Guillermo Garcia Lopez,Spain,ESP,false,1:46
40,Denis Istomin,Uzbekistan,UZB,true,1:45
41,Todd Martin,United States,USA,false,1:45
42,Cedric Pioline,France,FRA,false,1:45
43,Stan Wawrinka,Switzerland,SUI,true,1:45
44,Patrick Rafter,Australia,AUS,false,1:45
45,Milos Raonic,Canada,CAN,true,1:44
46,Tommy Robredo,Spain,ESP,true,1:44
47,Gilles Simon,France,FRA,true,1:44
48,Xavier Malisse,Belgium,BEL,false,1:44
49,Gianluca Pozzi,Italy,ITA,false,1:43
50,Yen Hsun Lu,"Taiwan, Province of China",TPE,true,1:43
51,Fabrice Santoro,France,FRA,false,1:43
52,Kenneth Carlsen,Denmark,DEN,false,1:43
53,Karol Kucera,Slovakia,SVK,false,1:43
54,Mark Woodforde,Australia,AUS,false,1:42
55,Jonas Bjorkman,Sweden,SWE,false,1:42
56,Tommy Haas,Germany,GER,false,1:42
57,Roger Federer,Switzerland,SUI,true,1:42
58,Max Mirnyi,Belarus,BLR,false,1:42
59,Yevgeny Kafelnikov,Russian Federation,RUS,false,1:41
60,Sargis Sargsian,Armenia,ARM,false,1:41
61,Robin Haase,Netherlands,NED,true,1:41
62,Gilles Muller,Luxembourg,LUX,false,1:41
63,Mardy Fish,United States,USA,false,1:40
64,Nicolas Mahut,France,FRA,true,1:40
65,Grigor Dimitrov,Bulgaria,BUL,true,1:40
66,Vincent Spadea,United States,USA,false,1:39
67,Boris Becker,Germany,GER,false,1:39
68,Wayne Arthurs,Australia,AUS,false,1:39
69,David Wheaton,United States,USA,false,1:39
70,Ivo Karlovic,Croatia,CRO,true,1:39
71,Taylor Dent,United States,USA,false,1:39
72,Andreas Seppi,Italy,ITA,true,1:39
73,Philipp Kohlschreiber,Germany,GER,true,1:38
74,Richard Krajicek,Netherlands,NED,false,1:38
75,Sam Querrey,United States,USA,true,1:38
76,Jarkko Nieminen,Finland,FIN,false,1:38
77,Marcos Baghdatis,Cyprus,CYP,false,1:37
78,James Blake,United States,USA,false,1:37
79,Greg Rusedski,United Kingdom,GBR,false,1:37
80,Michael Stich,Germany,GER,false,1:37
81,Gael Monfils,France,FRA,true,1:36
82,Richard Gasquet,France,FRA,true,1:36
83,Benjamin Becker,Germany,GER,false,1:36
84,Michael Llodra,France,FRA,false,1:35
85,Dudi Sela,Israel,ISR,false,1:35
86,Wayne Ferreira,South Africa,RSA,false,1:34
87,Marc Rosset,Switzerland,SUI,false,1:34
88,Goran Ivanisevic,Croatia,CRO,false,1:34
89,Pete Sampras,United States,USA,false,1:33
90,Jason Stoltenberg,Australia,AUS,false,1:33
91,Florian Mayer,Germany,GER,false,1:32
92,Sergiy Stakhovsky,Ukraine,UKR,true,1:31
93,Byron Black,Zimbabwe,ZIM,false,1:30
94,Steve Johnson,United States,USA,true,1:30
95,Bernard Tomic,Australia,AUS,true,1:30
96,Adrian Mannarino,France,FRA,true,1:29
97,Robby Ginepri,United States,USA,false,1:29
98,David Prinosil,Germany,GER,false,1:27
99,Javier Frana,Argentina,ARG,false,1:25
100,Mischa Zverev,Germany,GER,true,1:23
101,Viktor Troicki,Serbia,SRB,true,1:20
