rank,name,country_name,country_id,active,value
1,Nicolas Massu,Chile,CHI,false,4.928
2,Carlos Berlocq,Argentina,ARG,false,4.860
3,Daniel Evans,United Kingdom,GBR,true,4.820
4,Jaume Munar,Spain,ESP,true,4.814
5,Rafael Nadal,Spain,ESP,true,4.800
6,Lorenzo Sonego,Italy,ITA,true,4.798
7,Roberto Carballes Baena,Spain,ESP,true,4.775
8,Felix Auger Aliassime,Canada,CAN,true,4.698
9,Flavio Cipolla,Italy,ITA,false,4.685
10,Laslo Djere,Serbia,SRB,true,4.673
11,Maximo Gonzalez,Argentina,ARG,false,4.672
12,Ruben Ramirez Hidalgo,Spain,ESP,false,4.665
13,Horacio De La Pena,Argentina,ARG,false,4.662
14,Jordi Arrese,Spain,ESP,false,4.660
15,Guillermo Perez Roldan,Argentina,ARG,false,4.638
16,Juan Martin Del Potro,Argentina,ARG,true,4.635
17,Marton Fucsovics,Hungary,HUN,true,4.633
18,John McEnroe,United States,USA,false,4.629
19,Oscar Hernandez,Spain,ESP,false,4.597
20,Albert Ramos,Spain,ESP,true,4.593
21,Eduardo Schwank,Argentina,ARG,false,4.585
22,Alex De Minaur,Australia,AUS,true,4.583
23,Juan Monaco,Argentina,ARG,false,4.572
24,Andrei Cherkasov,Russian Federation,RUS,false,4.557
25,Frederico Gil,Portugal,POR,false,4.554
26,Lukasz Kubot,Poland,POL,false,4.548
27,Taro Daniel,Japan,JPN,true,4.542
28,Horst Skoff,Austria,AUT,false,4.541
29,Martin Vassallo Arguello,Argentina,ARG,false,4.539
30,Janko Tipsarevic,Serbia,SRB,false,4.527
31,Jordan Thompson,Australia,AUS,true,4.522
32,Somdev Devvarman,India,IND,false,4.521
33,Christian Garin,Chile,CHI,true,4.519
34,Guillermo Canas,Argentina,ARG,false,4.518
35,Wayne Odesnik,United States,USA,false,4.517
36,Pablo Andujar,Spain,ESP,true,4.515
37,Paolo Lorenzi,Italy,ITA,true,4.513
38,Novak Djokovic,Serbia,SRB,true,4.509
39,Jaime Oncins,Brazil,BRA,false,4.492
40,Andy Murray,United Kingdom,GBR,true,4.492
41,Ivan Navarro,Spain,ESP,false,4.491
42,Nicolas Lapentti,Ecuador,ECU,false,4.487
43,Thiago Monteiro,Brazil,BRA,true,4.478
44,Guillermo Coria,Argentina,ARG,false,4.476
45,Flavio Saretta,Brazil,BRA,false,4.476
46,Paul Henri Mathieu,France,FRA,false,4.450
47,Ugo Humbert,France,FRA,true,4.446
48,Marcel Granollers,Spain,ESP,true,4.445
49,Arnaud Clement,France,FRA,false,4.445
50,Nikolay Davydenko,Russian Federation,RUS,false,4.444
51,Gaston Gaudio,Argentina,ARG,false,4.440
52,Juan Ignacio Chela,Argentina,ARG,false,4.439
53,Cameron Norrie,United Kingdom,GBR,true,4.435
54,Ivan Dodig,Croatia,CRO,false,4.433
55,Jean Rene Lisnard,Monaco,MON,false,4.430
56,Marcelo Filippini,Uruguay,URU,false,4.423
57,Guido Pella,Argentina,ARG,true,4.422
58,Diego Sebastian Schwartzman,Argentina,ARG,true,4.416
59,David Nalbandian,Argentina,ARG,false,4.412
60,Illya Marchenko,Ukraine,UKR,true,4.411
61,Stefanos Tsitsipas,Greece,GRE,true,4.399
62,Gilles Simon,France,FRA,true,4.399
63,Guillermo Garcia Lopez,Spain,ESP,false,4.397
64,Lleyton Hewitt,Australia,AUS,false,4.393
65,Alex Corretja,Spain,ESP,false,4.391
66,Radu Albot,"Moldova, Republic of",MDA,true,4.391
67,Tobias Kamke,Germany,GER,false,4.389
68,Tennys Sandgren,United States,USA,true,4.387
69,Gabriel Markus,Argentina,ARG,false,4.386
70,Juan Carlos Ferrero,Spain,ESP,false,4.384
71,David Ferrer,Spain,ESP,false,4.383
72,Rogerio Dutra Silva,Brazil,BRA,false,4.381
73,Federico Delbonis,Argentina,ARG,true,4.378
74,Blaz Kavcic,Slovenia,SLO,false,4.378
75,Julien Benneteau,France,FRA,false,4.376
76,Christo Van Rensburg,South Africa,RSA,false,4.375
77,Andreas Beck,Germany,GER,false,4.374
