rank,name,country_name,country_id,active,value
1,Nicolas Massu,Chile,CHI,false,1:56
2,Guido Pella,Argentina,ARG,true,1:56
3,Lukasz Kubot,Poland,POL,false,1:55
4,Juan Martin Del Potro,Argentina,ARG,true,1:54
5,Karen Khachanov,Russian Federation,RUS,true,1:54
6,Denis Shapovalov,Canada,CAN,true,1:53
7,Rafael Nadal,Spain,ESP,true,1:53
8,Carlos Berlocq,Argentina,ARG,false,1:53
9,Andy Murray,United Kingdom,GBR,true,1:53
10,Lleyton Hewitt,Australia,AUS,false,1:52
11,Janko Tipsarevic,Serbia,SRB,false,1:52
12,Albert Ramos,Spain,ESP,true,1:52
13,Stan Wawrinka,Switzerland,SUI,true,1:52
14,Stefanos Tsitsipas,Greece,GRE,true,1:51
15,Novak Djokovic,Serbia,SRB,true,1:51
16,Nicolas Lapentti,Ecuador,ECU,false,1:51
17,David Nalbandian,Argentina,ARG,false,1:50
18,Guillermo Canas,Argentina,ARG,false,1:50
19,Ivan Ljubicic,Croatia,CRO,false,1:50
20,Paolo Lorenzi,Italy,ITA,true,1:50
21,Arnaud Clement,France,FRA,false,1:50
22,Juan Carlos Ferrero,Spain,ESP,false,1:49
23,John Isner,United States,USA,true,1:49
24,John Millman,Australia,AUS,true,1:49
25,Mario Ancic,Croatia,CRO,false,1:49
26,Marin Cilic,Croatia,CRO,true,1:49
27,Jordi Arrese,Spain,ESP,false,1:49
28,Andrei Cherkasov,Russian Federation,RUS,false,1:49
29,Leonardo Mayer,Argentina,ARG,true,1:49
30,Julien Benneteau,France,FRA,false,1:48
31,Igor Andreev,Russian Federation,RUS,false,1:48
32,Kevin Anderson,South Africa,RSA,true,1:48
33,Gilles Simon,France,FRA,true,1:48
34,Marat Safin,Russian Federation,RUS,false,1:48
35,Ivan Dodig,Croatia,CRO,false,1:48
36,Kyle Edmund,United Kingdom,GBR,true,1:47
37,Borna Coric,Croatia,CRO,true,1:47
38,Sebastien Grosjean,France,FRA,false,1:47
39,Thomaz Bellucci,Brazil,BRA,true,1:47
40,Paul Henri Mathieu,France,FRA,false,1:47
41,Diego Sebastian Schwartzman,Argentina,ARG,true,1:47
42,Federico Delbonis,Argentina,ARG,true,1:47
43,Gaston Gaudio,Argentina,ARG,false,1:47
44,Fernando Verdasco,Spain,ESP,true,1:47
45,Guillermo Garcia Lopez,Spain,ESP,false,1:47
46,Juan Ignacio Chela,Argentina,ARG,false,1:47
47,Mikhail Youzhny,Russian Federation,RUS,false,1:46
48,Juan Monaco,Argentina,ARG,false,1:46
49,Alex Corretja,Spain,ESP,false,1:46
50,Kei Nishikori,Japan,JPN,true,1:46
51,Mikhail Kukushkin,Kazakhstan,KAZ,true,1:46
52,Guillermo Coria,Argentina,ARG,false,1:46
53,Dmitry Tursunov,Russian Federation,RUS,false,1:46
54,Olivier Rochus,Belgium,BEL,false,1:45
55,Marcel Granollers,Spain,ESP,true,1:45
56,Ivan Lendl,United States,USA,false,1:45
57,Tim Henman,United Kingdom,GBR,false,1:45
58,Alexander Zverev,Germany,GER,true,1:45
59,Andreas Seppi,Italy,ITA,true,1:45
60,Horacio Zeballos,Argentina,ARG,true,1:45
