rank,name,country_name,country_id,active,value
1,Nicolas Massu,Chile,CHI,false,47.44
2,Carlos Berlocq,Argentina,ARG,false,45.93
3,Juan Martin Del Potro,Argentina,ARG,true,45.14
4,Rafael Nadal,Spain,ESP,true,44.79
5,Jordi Arrese,Spain,ESP,false,44.52
6,Albert Ramos,Spain,ESP,true,44.42
7,Janko Tipsarevic,Serbia,SRB,false,44.41
8,Lukasz Kubot,Poland,POL,false,43.84
9,Andrei Cherkasov,Russian Federation,RUS,false,43.77
10,Stefanos Tsitsipas,Greece,GRE,true,43.71
11,Juan Monaco,Argentina,ARG,false,43.64
12,Denis Shapovalov,Canada,CAN,true,43.53
13,Guido Pella,Argentina,ARG,true,43.44
14,Guillermo Canas,Argentina,ARG,false,43.32
15,Paolo Lorenzi,Italy,ITA,true,43.27
16,Nicolas Lapentti,Ecuador,ECU,false,43.21
17,Ivan Ljubicic,Croatia,CRO,false,43.14
18,Paul Henri Mathieu,France,FRA,false,43.13
19,Federico Delbonis,Argentina,ARG,true,43.04
20,Ivan Dodig,Croatia,CRO,false,42.85
21,Karen Khachanov,Russian Federation,RUS,true,42.80
22,Arnaud Clement,France,FRA,false,42.58
23,Horacio Zeballos,Argentina,ARG,true,42.55
24,Mario Ancic,Croatia,CRO,false,42.51
25,Novak Djokovic,Serbia,SRB,true,42.50
26,Andy Murray,United Kingdom,GBR,true,42.47
27,Pablo Andujar,Spain,ESP,true,42.38
28,Juan Carlos Ferrero,Spain,ESP,false,42.28
29,Guillermo Garcia Lopez,Spain,ESP,false,42.22
30,Igor Andreev,Russian Federation,RUS,false,42.21
31,Marcel Granollers,Spain,ESP,true,42.17
32,Nikolay Davydenko,Russian Federation,RUS,false,42.16
33,Gilles Simon,France,FRA,true,42.10
34,David Nalbandian,Argentina,ARG,false,42.06
35,Juan Ignacio Chela,Argentina,ARG,false,41.96
36,Leonardo Mayer,Argentina,ARG,true,41.96
37,Mariano Zabaleta,Argentina,ARG,false,41.94
38,Julien Benneteau,France,FRA,false,41.94
39,Lleyton Hewitt,Australia,AUS,false,41.86
40,Guillermo Coria,Argentina,ARG,false,41.85
41,Alex Corretja,Spain,ESP,false,41.85
42,Gaston Gaudio,Argentina,ARG,false,41.75
43,Borna Coric,Croatia,CRO,true,41.69
44,Luis Horna,Peru,PER,false,41.61
45,Kevin Anderson,South Africa,RSA,true,41.58
46,Kyle Edmund,United Kingdom,GBR,true,41.58
47,Diego Sebastian Schwartzman,Argentina,ARG,true,41.56
48,Potito Starace,Italy,ITA,false,41.54
49,Jose Acasuso,Argentina,ARG,false,41.53
50,Stan Wawrinka,Switzerland,SUI,true,41.53
51,Marcelo Filippini,Uruguay,URU,false,41.50
52,Marin Cilic,Croatia,CRO,true,41.50
53,Mikhail Youzhny,Russian Federation,RUS,false,41.45
54,Dusan Lajovic,Serbia,SRB,true,41.44
55,Ryan Harrison,United States,USA,true,41.43
56,Emilio Sanchez,Spain,ESP,false,41.41
57,Nicolas Kiefer,Germany,GER,false,41.40
58,Igor Kunitsyn,Russian Federation,RUS,false,41.38
59,John Millman,Australia,AUS,true,41.34
60,Victor Hanescu,Romania,ROU,false,41.32
61,Mikhail Kukushkin,Kazakhstan,KAZ,true,41.31
62,Michael Russell,United States,USA,false,41.30
63,Olivier Rochus,Belgium,BEL,false,41.24
64,Thomaz Bellucci,Brazil,BRA,true,41.20
65,Kei Nishikori,Japan,JPN,true,41.15
66,David Ferrer,Spain,ESP,false,41.15
67,Fernando Verdasco,Spain,ESP,true,41.12
68,John Isner,United States,USA,true,41.07
69,Agustin Calleri,Argentina,ARG,false,40.98
70,Ivan Lendl,United States,USA,false,40.91
71,Radek Stepanek,Czech Republic,CZE,false,40.86
72,Nicolas Almagro,Spain,ESP,false,40.81
73,Mardy Fish,United States,USA,false,40.80
74,Sebastien Grosjean,France,FRA,false,40.76
75,Martin Klizan,Slovakia,SVK,true,40.72
76,Marcos Baghdatis,Cyprus,CYP,false,40.72
77,Antony Dupuis,France,FRA,false,40.71
78,Milos Raonic,Canada,CAN,true,40.65
79,Gilbert Schaller,Austria,AUT,false,40.61
80,Andreas Seppi,Italy,ITA,true,40.60
81,Fabrice Santoro,France,FRA,false,40.58
82,Shuzo Matsuoka,Japan,JPN,false,40.57
83,Dmitry Tursunov,Russian Federation,RUS,false,40.50
84,Rainer Schuettler,Germany,GER,false,40.46
85,Grigor Dimitrov,Bulgaria,BUL,true,40.45
86,Marc Gicquel,France,FRA,false,40.44
87,Daniil Medvedev,Russian Federation,RUS,true,40.41
88,Marat Safin,Russian Federation,RUS,false,40.39
89,Magnus Norman,Sweden,SWE,false,40.37
90,Alberto Martin,Spain,ESP,false,40.31
91,Hernan Gumy,Argentina,ARG,false,40.29
92,Aljaz Bedene,Slovenia,SLO,true,40.29
93,Nicolas Mahut,France,FRA,true,40.29
94,Edouard Roger Vasselin,France,FRA,false,40.28
95,Ernests Gulbis,Latvia,LAT,true,40.24
96,Tomas Berdych,Czech Republic,CZE,false,40.22
97,Jeremy Chardy,France,FRA,true,40.12
98,Dominic Thiem,Austria,AUT,true,40.11
99,Lars Burgsmuller,Germany,GER,false,40.09
100,Michael Berrer,Germany,GER,false,40.08
101,Simone Bolelli,Italy,ITA,false,40.07
102,Justin Gimelstob,United States,USA,false,40.05
103,Felix Mantilla,Spain,ESP,false,40.03
104,Francisco Clavet,Spain,ESP,false,39.98
105,Gilles Muller,Luxembourg,LUX,false,39.94
106,Roberto Bautista Agut,Spain,ESP,true,39.94
107,Philipp Kohlschreiber,Germany,GER,true,39.93
108,Pablo Cuevas,Uruguay,URU,true,39.92
109,Tim Henman,United Kingdom,GBR,false,39.90
110,Jo Wilfried Tsonga,France,FRA,true,39.89
111,Tommy Robredo,Spain,ESP,true,39.85
112,Albert Costa,Spain,ESP,false,39.84
113,Brad Gilbert,United States,USA,false,39.82
114,Renzo Furlan,Italy,ITA,false,39.78
115,Gael Monfils,France,FRA,true,39.77
116,Santiago Giraldo,Colombia,COL,false,39.74
