rank,name,country_name,country_id,active,value
1,Fabrice Santoro,France,FRA,false,188
2,Tommy Haas,Germany,GER,false,165
3,Feliciano Lopez,Spain,ESP,true,160
4,Mikhail Youzhny,Russian Federation,RUS,false,149
5,Arnaud Clement,France,FRA,false,140
5,Mark Woodforde,Australia,AUS,false,140
7,Ivo Karlovic,Croatia,CRO,true,136
8,Nicolas Kiefer,Germany,GER,false,135
9,Greg Rusedski,United Kingdom,GBR,false,131
9,Jonas Bjorkman,Sweden,SWE,false,131
9,Julien Benneteau,France,FRA,false,131
12,Radek Stepanek,Czech Republic,CZE,false,128
13,Xavier Malisse,Belgium,BEL,false,127
14,Juan Martin Del Potro,Argentina,ARG,true,126
14,Philipp Kohlschreiber,Germany,GER,true,126
16,Fernando Verdasco,Spain,ESP,true,125
16,Guillermo Garcia Lopez,Spain,ESP,false,125
16,Jeremy Chardy,France,FRA,true,125
19,Jason Stoltenberg,Australia,AUS,false,124
20,Ernests Gulbis,Latvia,LAT,true,122
20,Lleyton Hewitt,Australia,AUS,false,122
20,Stan Wawrinka,Switzerland,SUI,true,122
23,Andreas Seppi,Italy,ITA,true,121
24,John Alexander,Australia,AUS,false,120
24,Sam Querrey,United States,USA,true,120
26,Magnus Larsson,Sweden,SWE,false,119
27,Marcos Baghdatis,Cyprus,CYP,false,118
28,Ivan Ljubicic,Croatia,CRO,false,117
28,Todd Martin,United States,USA,false,117
30,Juan Monaco,Argentina,ARG,false,115
30,Paul Henri Mathieu,France,FRA,false,115
32,Gael Monfils,France,FRA,true,114
32,Marc Rosset,Switzerland,SUI,false,114
34,Mark Philippoussis,Australia,AUS,false,113
35,Jeff Tarango,United States,USA,false,112
35,Jurgen Melzer,Austria,AUT,false,112
35,Magnus Gustafsson,Sweden,SWE,false,112
35,Richard Fromberg,Australia,AUS,false,112
35,Vincent Spadea,United States,USA,false,112
40,Kenneth Carlsen,Denmark,DEN,false,110
40,Raymond Moore,South Africa,RSA,false,110
40,Thomas Enqvist,Sweden,SWE,false,110
43,Jan Siemerink,Netherlands,NED,false,109
43,Jarkko Nieminen,Finland,FIN,false,109
45,Guy Forget,France,FRA,false,108
45,Henri Leconte,France,FRA,false,108
45,Karol Kucera,Slovakia,SVK,false,108
45,Richey Reneberg,United States,USA,false,108
49,Rainer Schuettler,Germany,GER,false,106
50,Andrei Pavel,Romania,ROU,false,105
50,Bill Scanlon,United States,USA,false,105
50,Richard Gasquet,France,FRA,true,105
50,Wayne Ferreira,South Africa,RSA,false,105
54,Juan Carlos Ferrero,Spain,ESP,false,104
54,Mats Wilander,Sweden,SWE,false,104
54,Nicolas Mahut,France,FRA,true,104
54,Vijay Amritraj,India,IND,false,104
58,Jakob Hlasek,Switzerland,SUI,false,103
58,Mardy Fish,United States,USA,false,103
58,Marty Riessen,United States,USA,false,103
61,Carlos Moya,Spain,ESP,false,102
61,Jeff Borowiak,United States,USA,false,102
61,Thomas Johansson,Sweden,SWE,false,102
64,James Blake,United States,USA,false,101
64,Michael Llodra,France,FRA,false,101
64,Stefan Koubek,Austria,AUT,false,101
67,Andre Agassi,United States,USA,false,100
67,Cedric Pioline,France,FRA,false,100
67,Ismail El Shafei,Egypt,EGY,false,100
67,Mariano Zabaleta,Argentina,ARG,false,100
67,Robert Lutz,United States,USA,false,100
72,Francisco Clavet,Spain,ESP,false,99
72,Paul Haarhuis,Netherlands,NED,false,99
72,Petr Korda,Czech Republic,CZE,false,99
75,Max Mirnyi,Belarus,BLR,false,98
75,Ramesh Krishnan,India,IND,false,98
75,Sandy Mayer,United States,USA,false,98
78,Gilles Simon,France,FRA,true,97
79,Alberto Martin,Spain,ESP,false,96
79,Bohdan Ulihrach,Czech Republic,CZE,false,96
81,David Nalbandian,Argentina,ARG,false,95
81,Wally Masur,Australia,AUS,false,95
83,Boris Becker,Germany,GER,false,94
83,Goran Ivanisevic,Croatia,CRO,false,94
83,John Fitzgerald,Australia,AUS,false,94
83,Olivier Rochus,Belgium,BEL,false,94
87,Marat Safin,Russian Federation,RUS,false,93
87,Nicolas Lapentti,Ecuador,ECU,false,93
87,Viktor Troicki,Serbia,SRB,true,93
90,Diego Perez,Uruguay,URU,false,92
90,Florian Mayer,Germany,GER,false,92
90,Ilie Nastase,Romania,ROU,false,92
90,Jiri Novak,Czech Republic,CZE,false,92
90,Juan Ignacio Chela,Argentina,ARG,false,92
90,Mark Edmondson,Australia,AUS,false,92
90,Mikhail Kukushkin,Kazakhstan,KAZ,true,92
90,Robin Haase,Netherlands,NED,true,92
98,Albert Montanes,Spain,ESP,false,90
98,Cliff Drysdale,South Africa,RSA,false,90
98,David Prinosil,Germany,GER,false,90
98,Jim Grabb,United States,USA,false,90
98,Marcelo Filippini,Uruguay,URU,false,90
98,Richard Krajicek,Netherlands,NED,false,90
98,Roger Taylor,United Kingdom,GBR,false,90
98,Todd Woodbridge,Australia,AUS,false,90
98,Victor Pecci,Paraguay,PAR,false,90
107,Albert Ramos,Spain,ESP,true,89
107,Anders Jarryd,Sweden,SWE,false,89
107,Andrei Chesnokov,Russian Federation,RUS,false,89
107,David Wheaton,United States,USA,false,89
107,Fernando Meligeni,Brazil,BRA,false,89
107,Igor Andreev,Russian Federation,RUS,false,89
107,Tomas Carbonell,Spain,ESP,false,89
114,Denis Istomin,Uzbekistan,UZB,true,88
114,Peter Fleming,United States,USA,false,88
114,Thomas Muster,Austria,AUT,false,88
114,Zeljko Franulovic,Croatia,CRO,false,88
118,Byron Black,Zimbabwe,ZIM,false,87
118,Nicolas Almagro,Spain,ESP,false,87
120,Albert Costa,Spain,ESP,false,86
120,Charlie Pasarell,United States,USA,false,86
120,Felix Mantilla,Spain,ESP,false,86
120,Gianluca Pozzi,Italy,ITA,false,86
120,Robin Soderling,Sweden,SWE,false,86
120,Scott Davis,United States,USA,false,86
120,Tim Wilkison,United States,USA,false,86
127,Andrea Gaudenzi,Italy,ITA,false,85
127,Andrei Medvedev,Ukraine,UKR,false,85
127,Carl Uwe Steeb,Germany,GER,false,85
127,Hank Pfister,United States,USA,false,85
127,Javier Sanchez,Spain,ESP,false,85
127,Marc Kevin Goellner,Germany,GER,false,85
127,Sjeng Schalken,Netherlands,NED,false,85
127,Tomas Berdych,Czech Republic,CZE,false,85
135,Fabio Fognini,Italy,ITA,true,84
135,Hicham Arazi,Morocco,MAR,false,84
135,Nick Saviano,United States,USA,false,84
135,Wojtek Fibak,Poland,POL,false,84
139,Andy Murray,United Kingdom,GBR,true,83
139,David Ferrer,Spain,ESP,false,83
139,Dmitry Tursunov,Russian Federation,RUS,false,83
139,Grigor Dimitrov,Bulgaria,BUL,true,83
139,Guillaume Raoux,France,FRA,false,83
139,Jaime Fillol,Chile,CHI,false,83
139,Mark Cox,United Kingdom,GBR,false,83
139,Nikolay Davydenko,Russian Federation,RUS,false,83
139,Robby Ginepri,United States,USA,false,83
148,Alex Corretja,Spain,ESP,false,82
148,Dominik Hrbaty,Slovakia,SVK,false,82
148,Kim Warwick,Australia,AUS,false,82
148,Nicolas Escude,France,FRA,false,82
148,Sargis Sargsian,Armenia,ARM,false,82
153,Arnaud Boetsch,France,FRA,false,81
153,Guillermo Canas,Argentina,ARG,false,81
153,Kevin Anderson,South Africa,RSA,true,81
153,Nicklas Kulti,Sweden,SWE,false,81
153,Sergi Bruguera,Spain,ESP,false,81
153,Tim Henman,United Kingdom,GBR,false,81
153,Tommy Robredo,Spain,ESP,true,81
160,Agustin Calleri,Argentina,ARG,false,80
160,Brad Drewett,Australia,AUS,false,80
160,Gilles Muller,Luxembourg,LUX,false,80
160,Leonardo Mayer,Argentina,ARG,true,80
160,Marcel Granollers,Spain,ESP,true,80
160,Renzo Furlan,Italy,ITA,false,80
166,Aaron Krickstein,United States,USA,false,79
166,Janko Tipsarevic,Serbia,SRB,false,79
166,Jimmy Arias,United States,USA,false,79
166,Jo Wilfried Tsonga,France,FRA,true,79
166,Pat Cash,Australia,AUS,false,79
171,Daniel Vacek,Czech Republic,CZE,false,78
171,Pablo Cuevas,Uruguay,URU,true,78
171,Thierry Tulasne,France,FRA,false,78
171,Tim Gullikson,United States,USA,false,78
175,Jim Courier,United States,USA,false,77
175,Roger Federer,Switzerland,SUI,true,77
175,Slava Dosedel,Czech Republic,CZE,false,77
178,Brett Steven,New Zealand,NZL,false,76
178,John Isner,United States,USA,true,76
178,Jose Acasuso,Argentina,ARG,false,76
178,Michael Chang,United States,USA,false,76
178,Sergiy Stakhovsky,Ukraine,UKR,true,76
183,Bernard Mitton,South Africa,RSA,false,75
183,Jaime Yzaga,Peru,PER,false,75
183,John Lloyd,United Kingdom,GBR,false,75
183,Kei Nishikori,Japan,JPN,true,75
187,Derrick Rostagno,United States,USA,false,74
187,Emilio Sanchez,Spain,ESP,false,74
187,Marin Cilic,Croatia,CRO,true,74
187,Nicolas Massu,Chile,CHI,false,74
187,Tom Gorman,United States,USA,false,74
192,Amos Mansdorf,Israel,ISR,false,73
192,Andrei Olhovskiy,Russian Federation,RUS,false,73
192,Kevin Curren,United States,USA,false,73
192,Shuzo Matsuoka,Japan,JPN,false,73
192,Tim Mayotte,United States,USA,false,73
197,Andrew Pattison,United States,USA,false,72
197,Benoit Paire,France,FRA,true,72
197,Jan Gunnarsson,Sweden,SWE,false,72
197,Jeremy Bates,United Kingdom,GBR,false,72
197,Jordi Arrese,Spain,ESP,false,72
197,Mischa Zverev,Germany,GER,true,72
197,Paul Mcnamee,Australia,AUS,false,72
197,Ronald Agenor,United States,USA,false,72
197,Tom Gullikson,United States,USA,false,72
206,Brian Teacher,United States,USA,false,71
206,Patrick McEnroe,United States,USA,false,71
206,Victor Hanescu,Romania,ROU,false,71
206,Vitas Gerulaitis,United States,USA,false,71
210,Christian Bergstrom,Sweden,SWE,false,70
210,Galo Blanco,Spain,ESP,false,70
210,Heinz Gunthardt,Switzerland,SUI,false,70
210,Younes El Aynaoui,Morocco,MAR,false,70
214,Alejandro Falla,Colombia,COL,false,69
214,Alexandr Dolgopolov,Ukraine,UKR,false,69
214,Dick Stockton,United States,USA,false,69
214,Fernando Gonzalez,Chile,CHI,false,69
214,Horacio De La Pena,Argentina,ARG,false,69
214,Jan Lennard Struff,Germany,GER,true,69
214,Jan Michael Gambill,United States,USA,false,69
214,Joao Sousa,Portugal,POR,true,69
214,Jose Higueras,Spain,ESP,false,69
214,Marcelo Rios,Chile,CHI,false,69
214,Raul Ramirez,Mexico,MEX,false,69
214,Sammy Giammalva Jr,United States,USA,false,69
214,Santiago Giraldo,Colombia,COL,false,69
214,Terry Moor,United States,USA,false,69
214,Teymuraz Gabashvili,Russian Federation,RUS,false,69
214,Tomas Smid,Czech Republic,CZE,false,69
230,Adrian Mannarino,France,FRA,true,68
230,Benjamin Becker,Germany,GER,false,68
230,Carlos Costa,Spain,ESP,false,68
230,Fernando Vicente,Spain,ESP,false,68
230,Olivier Delaitre,France,FRA,false,68
230,Pablo Arraya,Peru,PER,false,68
230,Taylor Dent,United States,USA,false,68
237,Bernd Karbacher,Germany,GER,false,67
237,Colin Dibley,Australia,AUS,false,67
237,Federico Delbonis,Argentina,ARG,true,67
237,Javier Frana,Argentina,ARG,false,67
237,Jerome Golmard,France,FRA,false,67
237,Juan Aguilera,Spain,ESP,false,67
237,Martin Damm,Czech Republic,CZE,false,67
237,Stefan Edberg,Sweden,SWE,false,67
245,Adriano Panatta,Italy,ITA,false,66
245,Adrian Voinea,Romania,ROU,false,66
245,Alexander Volkov,Russian Federation,RUS,false,66
245,Donald Young,United States,USA,true,66
245,Karim Alami,Morocco,MAR,false,66
245,Magnus Norman,Sweden,SWE,false,66
245,Manuel Orantes,Spain,ESP,false,66
245,Pablo Andujar,Spain,ESP,true,66
245,Wayne Arthurs,Australia,AUS,false,66
254,Andres Gomez,Ecuador,ECU,false,65
254,Hyung Taik Lee,"Korea, Republic of",KOR,false,65
254,Jimmy Brown,United States,USA,false,65
254,Jonathan Stark,United States,USA,false,65
254,Mario Ancic,Croatia,CRO,false,65
254,Marty Davis,United States,USA,false,65
254,Stan Smith,United States,USA,false,65
254,Vasek Pospisil,Canada,CAN,true,65
254,Yannick Noah,France,FRA,false,65
263,Bernard Tomic,Australia,AUS,true,64
263,Diego Nargiso,Italy,ITA,false,64
263,Dudi Sela,Israel,ISR,false,64
263,Florent Serra,France,FRA,false,64
263,Justin Gimelstob,United States,USA,false,64
263,Potito Starace,Italy,ITA,false,64
263,Scott Draper,Australia,AUS,false,64
263,Sherwood Stewart,United States,USA,false,64
263,Tom Okker,Netherlands,NED,false,64
272,Balazs Taroczy,Hungary,HUN,false,63
272,Carlos Berlocq,Argentina,ARG,false,63
272,Davide Sanguinetti,Italy,ITA,false,63
272,Dick Crealy,Australia,AUS,false,63
272,Marcos Ondruska,South Africa,RSA,false,63
272,Michiel Schapers,Netherlands,NED,false,63
272,Patrick Rafter,Australia,AUS,false,63
272,Ricardas Berankis,Lithuania,LTU,true,63
272,Yen Hsun Lu,"Taiwan, Province of China",TPE,true,63
281,Brad Gilbert,United States,USA,false,62
281,Bruce Manson,United States,USA,false,62
281,Corrado Barazzutti,Italy,ITA,false,62
281,Joakim Nystrom,Sweden,SWE,false,62
281,Karel Novacek,Czech Republic,CZE,false,62
281,Mikael Tillstrom,Sweden,SWE,false,62
281,Patrik Kuhnen,Germany,GER,false,62
281,Sebastien Grosjean,France,FRA,false,62
281,Simone Bolelli,Italy,ITA,false,62
281,Steve Johnson,United States,USA,true,62
281,Thomaz Bellucci,Brazil,BRA,true,62
